species_name,x,y
Heuchera bracteata,-105.31005,40.78809
Heuchera bracteata,-105.59694,39.6362
Heuchera bracteata,-105.59667,40.55915
Heuchera bracteata,-105.52294,40.37499
Heuchera bracteata,-105.3923,40.3729
Heuchera bracteata,-105.1944,40.5393
Heuchera bracteata,-105.63333,39.7
Heuchera bracteata,-105.59694,39.6362
Heuchera bracteata,-105.41666,39.61666
Heuchera bracteata,-105.52234,39.67373
Heuchera bracteata,-105.4303,40.34055
Heuchera bracteata,-105.229,40.6282
Heuchera bracteata,-105.229,40.6282
Heuchera bracteata,-105.45333,39.9825
Heuchera bracteata,-105.5242,40.7341
Heuchera bracteata,-105.6028,39.6583
Heuchera bracteata,-105.5938,39.63632
Heuchera bracteata,-105.77805,39.65166
Heuchera bracteata,-105.43333,40.17528
Heuchera bracteata,-105.1944,40.5393
Heuchera bracteata,-105.63288,40.40822
Heuchera bracteata,-105.45722,40.07833
Heuchera bracteata,-105.504,40.3835
Heuchera bracteata,-105.31314,40.64164
Heuchera bracteata,-105.44,39.9901
Heuchera bracteata,-105.36002,39.7509
Heuchera bracteata,-105.60094,40.04825
Heuchera bracteata,-105.3577,39.75049
Heuchera bracteata,-105.572,39.6368
Heuchera bracteata,-105.5588,40.8008
Heuchera bracteata,-105.503,39.69225
Heuchera bracteata,-105.4458,40.4537
Heuchera bracteata,-105.5065,39.7144
Heuchera bracteata,-105.60267,39.63066
Heuchera bracteata,-105.2403,40.43665
Heuchera bracteata,-105.5891,40.5655
Heuchera bracteata,-105.60908,39.6513
Heuchera bracteata,-105.42719,39.92982
Heuchera bracteata,-105.8008,39.6931
Heuchera bracteata,-105.3666,40.1392
Heuchera bracteata,-105.8008,39.6931
Heuchera bracteata,-105.41653,39.86408
Heuchera bracteata,-105.229,40.6282
Heuchera bracteata,-105.5065,39.6871
Heuchera bracteata,-105.39639,40.87333
Heuchera bracteata,-105.5242,40.7487
Heuchera bracteata,-105.57093,39.50986
Heuchera bracteata,-105.570927,39.509857
Heuchera bracteata,-105.3666,39.6022
Heuchera bracteata,-105.5219,39.6033
Heuchera bracteata,-105.41666,39.61666
Heuchera bracteata,-105.60267,39.630661
Heuchera bracteata,-105.596938,39.636196
Heuchera bracteata,-105.596938,39.636196
Heuchera bracteata,-105.593804,39.63632
Heuchera bracteata,-105.572,39.6368
Heuchera bracteata,-105.609081,39.651302
Heuchera bracteata,-105.6028,39.6583
Heuchera bracteata,-105.5654,39.6725
Heuchera bracteata,-105.522336,39.673732
Heuchera bracteata,-105.399737,39.685947
Heuchera bracteata,-105.5065,39.6871
Heuchera bracteata,-105.596,39.6877
Heuchera bracteata,-105.502998,39.692252
Heuchera bracteata,-105.8008,39.6931
Heuchera bracteata,-105.8008,39.6931
Heuchera bracteata,-105.5065,39.7144
Heuchera bracteata,-105.5065,39.7144
Heuchera bracteata,-105.3577,39.750492
Heuchera bracteata,-105.416526,39.864075
Heuchera bracteata,-105.427188,39.929817
Heuchera bracteata,-105.44,39.9901
Heuchera bracteata,-105.600939,40.048246
Heuchera bracteata,-105.4572222,40.07833333
Heuchera bracteata,-105.6563,40.0894
Heuchera bracteata,-105.6801,40.1011
Heuchera bracteata,-105.7415,40.108
Heuchera bracteata,-105.7066,40.1105
Heuchera bracteata,-105.6733,40.1337
Heuchera bracteata,-105.3666,40.1392
Heuchera bracteata,-105.7162,40.1466
Heuchera bracteata,-105.7286,40.1538
Heuchera bracteata,-105.3923,40.3729
Heuchera bracteata,-105.52294,40.37499
Heuchera bracteata,-105.504,40.3835
Heuchera bracteata,-105.5417,40.4041
Heuchera bracteata,-105.632885,40.408224
Heuchera bracteata,-105.2402,40.4307
Heuchera bracteata,-105.4242,40.4322
Heuchera bracteata,-105.240304,40.436653
Heuchera bracteata,-105.4458,40.4537
Heuchera bracteata,-105.8796,40.4768
Heuchera bracteata,-105.1944,40.5393
Heuchera bracteata,-105.1944,40.5393
Heuchera bracteata,-105.6595,40.5466
Heuchera bracteata,-105.6271,40.5589
Heuchera bracteata,-105.596672,40.559155
Heuchera bracteata,-105.5891,40.5655
Heuchera bracteata,-105.4726,40.5711
Heuchera bracteata,-105.4322,40.5756
Heuchera bracteata,-105.8009,40.6257
Heuchera bracteata,-105.229,40.6282
Heuchera bracteata,-105.229,40.6282
Heuchera bracteata,-105.229,40.6282
Heuchera bracteata,-105.31314,40.64164
Heuchera bracteata,-105.4576,40.675
Heuchera bracteata,-105.7087,40.7235
Heuchera bracteata,-105.5242,40.7341
Heuchera bracteata,-105.517467,40.735798
Heuchera bracteata,-105.5242,40.7487
Heuchera bracteata,-105.6956,40.7632
Heuchera bracteata,-105.5588,40.8008
Heuchera bracteata,-105.396389,40.873333
Heuchera bracteata,-105.3383333,40.875
Heuchera bracteata,-105.28,41.0536
Heuchera bracteata,-105.3733,41.211
