associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera alba,cm539509,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"isaac, b.l.; isaac, j.a.",,,north america,30.0,united states,usa,huntingdon,7ddf754f-d193-4cc9-b351-99906754a03b,2020-05-23,2021-10-28T02:04:07.731114+00:00,0.2898550724637681,,,,,,741b451b23187302d06dedcb2ed65e992e5d3a11,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_continent_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.44461944, 'lon': -77.98523611}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,cm,,,plantae,,,,,,,"s of ardenheim, above raystown branch of juniata river",,,,7c348cb0-22e5-4cc7-ab13-25c889d09aab,,,,,e45d09ff-6194-42de-8192-8abbcc5d7eff,saxifragales,tracheophyta,"['urn:uuid:9e12d8db-232c-47db-8837-fb92922c5f63', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\25260866', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\e45d09ff-6194-42de-8192-8abbcc5d7eff']",27761,db6c3db9-1e6d-4def-af29-33aa0339bfa9,heuchera alba,alba,144,pennsylvania,3032660,accepted,species,,e62514be-0d76-4952-afd7-5c38d3cc5733,2020-5-23,,,,Heuchera alba,-77.98523611,40.44461944
,,preservedspecimen,,heuchera alba,gmuf-0043548,magnoliopsida,plants,2e430955-77d0-4aa4-a16f-e2d3c5ff4493,,gary p. fleming,,,north america,,united states,usa,highland,7ddf754f-d193-4cc9-b351-99906754a03b,2017-06-28,2022-02-07T13:55:47.632178+00:00,0.2753623188405797,,,,,,772f6a0f79399e938614e4b4ae9501a2ec3c3e6f,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.424038, 'lon': -79.496682}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,gmuf,,,plantae,,,,,,,on crest of jack mountain ca. 0.6 mi. n. of riven rocks and 2.9 mi. wsw of doe hill.,,,,094b4f2e-492e-4dcc-96e0-6fe53991e1ac,,,1219.0,,96fe6421-43c4-4438-9288-2fa986f95ff1,saxifragales,tracheophyta,"['e794b292-4a94-471e-ab84-6aaef1fea1b3\\\\96fe6421-43c4-4438-9288-2fa986f95ff1', 'e794b292-4a94-471e-ab84-6aaef1fea1b3\\\\21894624', 'urn:uuid:96fe6421-43c4-4438-9288-2fa986f95ff1']",16344,e794b292-4a94-471e-ab84-6aaef1fea1b3,heuchera alba,alba,179,virginia,3032660,accepted,species,,0b59fe68-55ae-4978-90fc-230f07c5b716,6/28/2017,,,,Heuchera alba,-79.496682,38.424038
,,preservedspecimen,,heuchera alba,ph00497123,magnoliopsida,,019a3280-a69f-4312-bb30-8556e270f1a5,,edgar t. wherry,,,north america,827.0,united states,usa,bedford,7ddf754f-d193-4cc9-b351-99906754a03b,1932-08-06,2021-12-17T14:32:06.120553+00:00,0.2608695652173913,,,,,,ecc02271c1c63a0bbbc21db5e0cd6cbe1b14836a,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.88338, 'lon': -78.516128}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,ph,,,plantae,,,,,,,0.75 mi s of rainsburg,,,,05dc5b79-c35a-4a67-afe8-9c7d26a71f86,,,,,cb1b30fe-9c29-4e4b-afdc-f22f106af3fa,saxifragales,tracheophyta,"['65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\\\cb1b30fe-9c29-4e4b-afdc-f22f106af3fa', 'urn:uuid:cb1b30fe-9c29-4e4b-afdc-f22f106af3fa', '65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\\\20464877']",s.n.,65536dcd-7bb2-44e5-af3f-4a13f08e53d0,heuchera alba,alba,219,pennsylvania,3032660,accepted,species,,63af379b-be34-470a-a428-1a9fa72a4265,,,,,Heuchera alba,-78.516128,39.88338
,,HUMAN_OBSERVATION,,,115233761,Magnoliopsida,Observations,,,Claire Ciafré,,,,28060.0,,,,,2022-05-03T11:49:38,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/115233761,Saxifragales,Tracheophyta,,,,Heuchera alba Rydb.,alba,,Pennsylvania,163729,ACCEPTED,SPECIES,,,2022-05-03 11:49:38,United States,,,Heuchera alba,-77.831864,39.71981
,,PRESERVED_SPECIMEN,,,GMUF-0043548,Magnoliopsida,Plants,2e430955-77d0-4aa4-a16f-e2d3c5ff4493,,Gary P. Fleming,,,,,,,Highland,,2017-06-28T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,GMUF,,,Plantae,,,,,,,On crest of Jack Mountain ca. 0.6 mi. N. of Riven Rocks and 2.9 mi. WSW of Doe Hill.,,,,,,,,,96fe6421-43c4-4438-9288-2fa986f95ff1,Saxifragales,Tracheophyta,,16344,,Heuchera alba Rydb.,alba,179,Virginia,86707,ACCEPTED,SPECIES,,,6/28/2017,,,,Heuchera alba,-79.496682,38.424038
,,HUMAN_OBSERVATION,,,91069180,Magnoliopsida,Observations,,,tomfeild,,,,765.0,,,,,2021-06-24T18:41:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/91069180,Saxifragales,Tracheophyta,,,,Heuchera alba Rydb.,alba,,West Virginia,163729,ACCEPTED,SPECIES,,,2021/06/24 6:41 PM EDT,"Pendleton County, WV, USA",,,Heuchera alba,-79.534149,38.69998
,,HUMAN_OBSERVATION,,,88819067,Magnoliopsida,Observations,,,tomfeild,,,,186.0,,,,,2021-06-04T09:37:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/88819067,Saxifragales,Tracheophyta,,,,Heuchera alba Rydb.,alba,,Maryland,163729,ACCEPTED,SPECIES,,,2021/06/04 9:37 AM EDT,"Washington County, MD, USA",,,Heuchera alba,-78.362603,39.659608
,,PRESERVED_SPECIMEN,,,408046,Magnoliopsida,MVSC,urn:lsid:biocol.org:col:15103,,Eugene W. Youngken,,,,1000.0,,,Northumberland Co.,,1946-06-03T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,MVSC,,,Plantae,,,,,,,"Blue Hill, opposite Northumberland, Pa",,,,,,,,,https://natureatlas.org/plants/mvsc/app/record.php?RID=408046,Saxifragales,Tracheophyta,,s.n,,Heuchera alba Rydb.,alba,,Pennsylvania,,ACCEPTED,SPECIES,,,1946-06-03,,,,Heuchera alba,-76.80352,40.883549
,,HUMAN_OBSERVATION,,,87791769,Magnoliopsida,Observations,,,Sara Rall,,,,223.0,,,,,2021-07-12T15:09:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/87791769,Saxifragales,Tracheophyta,,,,Heuchera alba Rydb.,alba,,West Virginia,163729,ACCEPTED,SPECIES,,,2021/07/12 3:09 PM EDT,"Pendleton County, WV, USA",,,Heuchera alba,-79.532465,38.700283
,,HUMAN_OBSERVATION,,,87791732,Magnoliopsida,Observations,,,Sara Rall,,,,223.0,,,,,2021-07-12T15:07:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/87791732,Saxifragales,Tracheophyta,,,,Heuchera alba Rydb.,alba,,West Virginia,163729,ACCEPTED,SPECIES,,,2021/07/12 3:07 PM EDT,"Pendleton County, WV, USA",,,Heuchera alba,-79.532465,38.700283
