associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera parviflora,ind-0046507,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,douglas e. soltis; haufler & schilling,,,north america,1300.0,united states,usa,crawford,7ddf754f-d193-4cc9-b351-99906754a03b,1980-06-21,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,f8fca0d2fee73bc601f2229dcc577fd4f2e54fca,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.319101, 'lon': -86.546098}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ind,,,plantae,,,,,,,between tazwell and mifflin,,,,240dd59b-b386-48da-8028-12db63a3d86b,,,,,48ea994e-186d-4330-80b1-9029d0694b95,saxifragales,tracheophyta,"['urn:uuid:48ea994e-186d-4330-80b1-9029d0694b95', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\48ea994e-186d-4330-80b1-9029d0694b95', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372153']",974,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera parviflora var. parviflora,parviflora,173,indiana,3032678,accepted,species,,b640874c-e82c-4786-9c8e-e19b00b18934,21 june 1980,,,,Heuchera parviflora var. parviflora,-86.546098,38.319101
,,preservedspecimen,,heuchera parviflora,100336578,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,stan hudson,,,north america,,united states,usa,wayne,7ddf754f-d193-4cc9-b351-99906754a03b,,2016-03-09T09:12:45.040858+00:00,0.2318840579710145,,,,,,3fbbc6ed08435fb2c6d6612d244a9b96793aa058,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.0183, 'lon': -90.4136}",,false,false,,,,parviflora,mo,,,plantae,,,,,,,"hall's bluff, on wappapello lake, ca. 6 mi s of greenville",,,,,,,,,urn:catalog:mo:tropicos:100336578,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:100336578'],hudson 494,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera parviflora var. parviflora,parviflora,208,missouri,3032678,accepted,species,,017e6155-5146-49bf-a27d-ea75eeb991b6,,,,,Heuchera parviflora var. parviflora,-90.4136,37.0183
,,preservedspecimen,,heuchera parviflora,3554852,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,george yatskievych|bill summers,,,north america,,united states,usa,texas,7ddf754f-d193-4cc9-b351-99906754a03b,,2016-03-09T09:12:45.040858+00:00,0.2608695652173913,,,,,,2ae8ded9282b16a8b5f454066e3e1bb8b9153710,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.05638, 'lon': -91.7}",,true,true,,,,parviflora,mo,,,plantae,,,,,,,"barn hollow, a narrow drainage branching to w off jack's fork river, ca. 3.5 air mi n of mountain view common from crevices of n- and s-facing shaded dolomite bluffs along stream; note absence of villous hairs on petiole",,,271.272,4e09067e-8ba2-4ff6-9ac6-56f0dbe431f9,,,268.224,,urn:catalog:mo:tropicos:3554852,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:3554852'],yatskievych 90-259,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera parviflora var. parviflora,parviflora,208,missouri,3032678,accepted,species,,17dd7280-b88a-48a3-8f61-faef99e89b19,,,,,Heuchera parviflora var. parviflora,-91.7,37.05638
,,preservedspecimen,,heuchera parviflora,31234100781135,magnoliopsida,,0fdd3b88-7ca2-48ad-92e0-23e26acec000,,thomas mcfadden,,,north america,50.0,united states,usa,wolfe,7ddf754f-d193-4cc9-b351-99906754a03b,2017-10-01,2021-12-17T14:46:33.773909+00:00,0.2753623188405797,,,,,,45ebd86f89a3493f13ee2fc0e89a0a71f752fa87,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.767202, 'lon': -83.621539}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,eky,,,plantae,,,,,,,head of tight hollow around cliff edges and large rock house,,,,ddee57d4-60f8-42a3-8912-62f8b160af46,,,,,48e18035-63c8-41ad-9051-a732b80b09fd,saxifragales,tracheophyta,"['urn:uuid:48e18035-63c8-41ad-9051-a732b80b09fd', '20360fae-574a-4d63-b9f6-47b1cc07fd22\\\\48e18035-63c8-41ad-9051-a732b80b09fd', '20360fae-574a-4d63-b9f6-47b1cc07fd22\\\\20574437']",722,20360fae-574a-4d63-b9f6-47b1cc07fd22,heuchera parviflora var. parviflora,parviflora,274,kentucky,3032678,accepted,species,,59a07ff3-30f9-4202-8101-d3ebdc858733,,,,,Heuchera parviflora var. parviflora,-83.621539,37.767202
,,preservedspecimen,,heuchera parviflora,ind-0046520,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,john r. bozeman; albert e. radford,,,north america,1800.0,united states,usa,surry,7ddf754f-d193-4cc9-b351-99906754a03b,1967-10-01,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,e938a05800dfd3d1f166c1ea171966ca34a0ade9,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.340138, 'lon': -80.474224}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ind,,,plantae,,,,,,,"around base of pilot knob on pilot mountain, off n.c. 52, northwest of winston-salem",,,,10a5d88a-e161-4556-9f32-bc636c1bd73f,,,,,bf02d153-89eb-4aa8-8e0c-e8ea6f2b5a77,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372196', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\bf02d153-89eb-4aa8-8e0c-e8ea6f2b5a77', 'urn:uuid:bf02d153-89eb-4aa8-8e0c-e8ea6f2b5a77']",11550,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera parviflora var. parviflora,parviflora,274,north carolina,3032678,accepted,species,,7c7b135e-2713-4ec1-b49f-62962028dc7a,10/1/67,,,,Heuchera parviflora var. parviflora,-80.474224,36.340138
,,preservedspecimen,,heuchera parviflora,ncu00169710,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"boufford, david e.; wood, emily w.",,,north america,100.0,united states,usa,pickens,7ddf754f-d193-4cc9-b351-99906754a03b,1975-07-18,2022-04-27T13:54:29.080943+00:00,0.30434782608695654,,,,,,04cfc6eed8c2ed71eb31f07c024cff4eb91cba63,saxifragaceae,,"['dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.039444, 'lon': -82.8175}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ncu,,,plantae,,,,,,,estatoe creek gorge at the end of county rd. 92. southwest of rocky bottom.,,,,20ad7ac9-d137-4f05-8c2a-56ae916d699c,,,400.0,,53ae58de-a10e-4e33-bf76-c7b294b2d58a,saxifragales,tracheophyta,"['urn:uuid:53ae58de-a10e-4e33-bf76-c7b294b2d58a', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\53ae58de-a10e-4e33-bf76-c7b294b2d58a', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8589046']",17413,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera parviflora var. parviflora,parviflora,199,south carolina,3032678,accepted,species,,67c6d3e9-7d85-41a8-bf8c-bd23b1ca9055,,,,,Heuchera parviflora var. parviflora,-82.8175,35.039444
,,preservedspecimen,,heuchera parviflora,ncu00176107,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"wells, elizabeth f.",,,north america,902.0,united states,usa,powell,7ddf754f-d193-4cc9-b351-99906754a03b,1973-07-14,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,a861c9fb464557427a803596de0f99df728c03b0,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.772584, 'lon': -83.684358}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ncu,,,plantae,,,,,,,"at the base of the natural bridge, natural bridge state recreational park",,,,f7605faa-670f-405b-9480-e4fa9a71ac9d,,,,,71a80f8d-61d4-4dd3-b4dd-ae77b79fcfda,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8589072', 'urn:uuid:71a80f8d-61d4-4dd3-b4dd-ae77b79fcfda', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\71a80f8d-61d4-4dd3-b4dd-ae77b79fcfda']",3280,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera parviflora var. parviflora,parviflora,195,kentucky,3032678,accepted,species,,1960df92-580c-4b78-b51c-5b63d037dc11,,,,,Heuchera parviflora var. parviflora,-83.684358,37.772584
,,preservedspecimen,,heuchera parviflora,ncu00064293,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,biltmore herbarium,,,north america,4322.0,united states,usa,macon,7ddf754f-d193-4cc9-b351-99906754a03b,1897-09-13,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,03f429a8299e2d873e50f5f35f352dd7514d42cf,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.052591, 'lon': -83.196817}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ncu,,,plantae,,,,,,,near highlands,,,,0f26079b-a1ee-40db-a934-52bb6071f6f5,,,,,b2fa7264-d3d5-4bf5-9027-b050180f5204,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8676189', 'urn:uuid:b2fa7264-d3d5-4bf5-9027-b050180f5204', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\b2fa7264-d3d5-4bf5-9027-b050180f5204']",1181b,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera parviflora var. parviflora,parviflora,256,north carolina,3032678,accepted,species,,c021130b-c1ca-4db7-b079-9704a3cb1693,,,,,Heuchera parviflora var. parviflora,-83.196817,35.052591
,,preservedspecimen,,heuchera parviflora,ncu00074035,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"wieboldt, thomas f.",,,north america,1237.0,united states,usa,polk,7ddf754f-d193-4cc9-b351-99906754a03b,2002-09-30,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,cf165ec33f27f09e4d79857c3173187486e79de3,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.227153, 'lon': -82.302136}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ncu,,,plantae,,,,,,,"on southernly slope of cedar cliff mtn. above north pacolet river and hwy 176, ca. 3.25 km w of valhalla",,,,857654f5-73fb-4430-bd08-cb5b43462704,,,,,97220fb2-1347-414e-949a-0082d0980355,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8676422', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\97220fb2-1347-414e-949a-0082d0980355', 'urn:uuid:97220fb2-1347-414e-949a-0082d0980355']",11057,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera parviflora var. parviflora,parviflora,273,north carolina,3032678,accepted,species,,e2afee7a-e62b-4664-b140-d5130e24e67f,,,,,Heuchera parviflora var. parviflora,-82.302136,35.227153
,,preservedspecimen,,heuchera parviflora,ncu00176207,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"clark, ross c.",,,north america,1189.0,united states,usa,grundy,7ddf754f-d193-4cc9-b351-99906754a03b,1964-08-22,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,411af20cf2788e5503dee3e250629711d11c519b,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.246191, 'lon': -85.75275}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ncu,,,plantae,,,,,,,beneath cave springs rockshelter in grundy state forest.,,,,102d459d-193c-45c5-99a5-4d02c9d8a487,,,,,e3ee4fbc-1d4e-4588-b914-69db7e2607d0,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\8666161', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\e3ee4fbc-1d4e-4588-b914-69db7e2607d0', 'urn:uuid:e3ee4fbc-1d4e-4588-b914-69db7e2607d0']",1198,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera parviflora var. parviflora,parviflora,235,tennessee,3032678,accepted,species,,e7d6d4d6-037a-44c6-8fbd-16ad592c0391,,,,,Heuchera parviflora var. parviflora,-85.75275,35.246191
,,preservedspecimen,,heuchera parviflora,ind-0046519,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,franklin t. mcfarland; hollis j. rodgers,,,north america,300.0,united states,usa,mccreary,7ddf754f-d193-4cc9-b351-99906754a03b,1940-08-29,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,28d1e4aecbd55dfaca119d98703d7313b7f9add1,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.83873, 'lon': -84.34503}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ind,,,plantae,,,,,,,cumberland falls,,,,5e0b50ac-c118-4297-b1a1-0bd988ed2571,,,,,7073dc8d-6f85-42a8-ba1d-594ce65fabb1,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\7073dc8d-6f85-42a8-ba1d-594ce65fabb1', 'urn:uuid:7073dc8d-6f85-42a8-ba1d-594ce65fabb1', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372199']",92,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera parviflora var. parviflora,parviflora,242,kentucky,3032678,accepted,species,,4d0fe0a4-38b9-49fc-83a5-46540f634663,"aug. 29, 1940",,,,Heuchera parviflora var. parviflora,-84.34503,36.83873
,,preservedspecimen,,heuchera parviflora,wcuh0025910,magnoliopsida,,daf7f698-000a-4721-8e61-df3ef5577497,,"horton, james heathman; pittillo, j. dan",,,north america,790.0,united states,usa,white,7ddf754f-d193-4cc9-b351-99906754a03b,1970-11-01,2021-12-17T14:14:30.992354+00:00,0.30434782608695654,,,,,,db1d50db4613ee2876b4dbf7f5f1dffaa0cff1c0,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_country_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.637392, 'lon': -83.714591}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,wcuh,,,plantae,,,,,,,outcrop: yonah mountain. 4 miles northeast of cleveland on ga. 75. 1 mile southeast to cliffs.,,,853.0,1445aca1-beb5-49cd-910a-c4bed98e8470,,,701.0,,154b10bb-5938-454d-969a-ccbd78de9ed9,saxifragales,tracheophyta,"['urn:uuid:154b10bb-5938-454d-969a-ccbd78de9ed9', '570dcca6-a84f-43aa-8053-1a2ac60d9ead\\\\154b10bb-5938-454d-969a-ccbd78de9ed9', '570dcca6-a84f-43aa-8053-1a2ac60d9ead\\\\15882031']",2635,570dcca6-a84f-43aa-8053-1a2ac60d9ead,heuchera parviflora var. parviflora,parviflora,305,georgia,3032678,accepted,species,,622cd723-bc25-418c-9c4f-c7497868fe51,1 november 1970,,,,Heuchera parviflora var. parviflora,-83.714591,34.637392
,,preservedspecimen,,heuchera parviflora,anhc009576,magnoliopsida,,895c5098-80b9-43fd-a77b-85daedae48cc,,dwayne estes; b.e. wofford & j. beck,,,north america,,united states,usa,fentress,7ddf754f-d193-4cc9-b351-99906754a03b,2005-10-12,2021-12-17T13:36:22.998215+00:00,0.2753623188405797,,,,,,9a4946798170f115087baf548b3a9a2298aef646,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.3925, 'lon': -84.96361}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,anhc,,,plantae,,,,,,,"sw of jamestown, 1.7 mi w from old hwy 127 on glen obey rd. where road just begins to descend into gorge, se side of road.",,,,1ca22041-bab6-49bb-b9b6-7c55fff2bac8,,,506.0,,96beb8d2-1f6f-48e2-a1b2-7680335b4f43,saxifragales,tracheophyta,"['9e1958fb-1dc4-4375-ae35-67ba7f9c7afe\\\\21192937', '9e1958fb-1dc4-4375-ae35-67ba7f9c7afe\\\\96beb8d2-1f6f-48e2-a1b2-7680335b4f43']",8529,9e1958fb-1dc4-4375-ae35-67ba7f9c7afe,heuchera parviflora var. parviflora,parviflora,285,tennessee,3032678,accepted,species,,c32a0324-f27b-45ba-8ec6-b4990bb67c37,2005-10-12,,,,Heuchera parviflora var. parviflora,-84.96361,36.3925
,,preservedspecimen,,heuchera parviflora,ind-0046517,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,jeff j. doyle,,,north america,1000.0,united states,usa,faulkner,7ddf754f-d193-4cc9-b351-99906754a03b,1980-00-00,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,8062da5c7259f8f040937700bd1959815527d62f,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.31175, 'lon': -92.40705}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parviflora,,,parviflora,ind,,,plantae,,,,,,,"north cadron creek, 17.5 mi n of conway",,,,a384d56c-2693-4f60-8af8-1664c4aee09d,,,,,2eb4d934-9d7a-4e6d-ac2c-598fc9c7979d,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372215', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\2eb4d934-9d7a-4e6d-ac2c-598fc9c7979d', 'urn:uuid:2eb4d934-9d7a-4e6d-ac2c-598fc9c7979d']",565,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera parviflora var. parviflora,parviflora,14,arkansas,3032678,accepted,species,,ad5dda6e-e986-4e5a-bfee-634e95188127,1980,,,,Heuchera parviflora var. parviflora,-92.40705,35.31175
