associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,l.b. ziegler,,,north america,,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.18840579710144928,,,,,,1dfd3c178b380e208c5ff2aae9faea5cfdb1c25b,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.81667, 'lon': -116.74167}",,false,false,,,,,ucr,,,plantae,,,,,,,north slope above black mtn. camp and east of black mtn,,,,,,,2348.0,,ucr-bps-35279,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-35279'],400,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera hirsutissima,,185,california,3032645,accepted,genus,,a9f44cb9-26a3-4ffe-baf5-2ecbde4a952a,,,,,Heuchera hirsutissima,-116.74167,33.81667
,,preservedspecimen,,heuchera hirsutissima,csla016637,magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,dieter h. wilken,,,north america,400.0,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,1969-06-30,2021-12-17T12:37:05.139305+00:00,0.3188405797101449,,,,,,448f4b5152e111aea42f1efc72059ba2ef7b8ba2,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 33.5411, 'lon': -116.4666}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,csla,,,plantae,,,,,,,"santa rosa springs, santa rosa mountains.",,,,00113f8e-445d-49c4-bb98-960acda1aa44,,,2377.0,,c495b113-6980-4f3b-a7a6-9076d52a4302,saxifragales,tracheophyta,"['7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\3720218', 'urn:uuid:c495b113-6980-4f3b-a7a6-9076d52a4302', '7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\c495b113-6980-4f3b-a7a6-9076d52a4302']",7891,7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68,heuchera hirsutissima,hirsutissima,181,california,3032673,accepted,species,,c383befd-fe26-4219-adde-e20acddca988,30 jun 1969,,,,Heuchera hirsutissima,-116.4666,33.5411
,,preservedspecimen,,heuchera hirsutissima,ucsb018354,magnoliopsida,,f7e112f9-92c5-455c-a6c4-709b0f8d7f73,,dieter h. wilken,,,north america,350.0,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,1969-06-30,2021-12-17T12:45:29.166474+00:00,0.2898550724637681,,,,,,4cfb0181e7ef54eb1f888411e871cf2b472f94a5,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added', 'gbif_reference_added']",,heuchera,,"{'lat': 33.5398, 'lon': -116.4677}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucsb,,,plantae,,,,,,,"santa rosa springs, santa rosa mountains",,,,27d2ffdc-68d7-4e70-abe4-1e2c3648ae18,,,,,dcbc6e97-6b94-4ed5-b046-a51fa31885ac,saxifragales,tracheophyta,"['urn:uuid:262d0494-4cc1-4002-b46a-63aebe258703', 'f31a5f98-efd3-476a-9627-de3add582acd\\\\327875', 'f31a5f98-efd3-476a-9627-de3add582acd\\\\dcbc6e97-6b94-4ed5-b046-a51fa31885ac']",7891,f31a5f98-efd3-476a-9627-de3add582acd,heuchera hirsutissima,hirsutissima,181,california,3032673,accepted,species,,5fd6eab7-5a6a-4b5e-bf58-147f9ee54e10,,,,,Heuchera hirsutissima,-116.4677,33.5398
,,preservedspecimen,,heuchera hirsutissima,ucr0048388,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,diane menuz,,,north america,,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,2007-06-19,2022-03-11T04:17:45.652829+00:00,0.2898550724637681,,,,,,0f2014339ed5f26c35e9b860675cccd16d724e2b,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 33.80889, 'lon': -116.69722}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,"pacific crest trail, along fuller ridge",,,,b637321d-941c-46ab-9647-7f0b1350f2c4,,,2724.0,,ucr-bps-189800,saxifragales,tracheophyta,"['urn:uuid:bb054bf2-d649-4f5e-89ec-067469eabba8', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1609032', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-189800']",305,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera hirsutissima,hirsutissima,170,california,3032673,accepted,species,,37a0f854-b441-4013-88c7-8de80b748b1c,2007-6-19,,,,Heuchera hirsutissima,-116.69722,33.80889
,,preservedspecimen,,heuchera hirsutissima,ucr0048387,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,j.c. lyman,,,north america,,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,1981-05-28,2022-03-11T04:17:45.652829+00:00,0.2753623188405797,,,,,,82d0b3c2336635e2cbf1405aa2c610018552813c,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 33.75833, 'lon': -116.675}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,ucr,,,plantae,,,,,,,gully behind tahquitz peak,,,,35178821-fd56-4b75-ac86-ce5f8abee6b4,,,,,ucr-bps-23265,saxifragales,tracheophyta,"['urn:uuid:9a39abe6-e26a-4aa6-a75f-37a0fa501add', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1490529', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-23265']",s.n.,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera hirsutissima,hirsutissima,148,california,3032673,accepted,species,,4bbfb337-d14c-428c-afaa-43ee9697a68d,1981-5-28,,,,Heuchera hirsutissima,-116.675,33.75833
,,preservedspecimen,,heuchera hirsutissima,,magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,reid moran,,,north america,,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,1968-08-03,2022-03-11T04:19:19.137588+00:00,0.2898550724637681,,,,,,c6bbf7a34fe931a6aa30de658335a31e51ef339b,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 33.5333, 'lon': -116.4667}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,sd,,,plantae,,,,,,,north slope 1 mile west of summit santa rosa mountain,,,,,,,2150.0,,795b3735-b2de-4506-8ab2-6c0e0fe7f674,saxifragales,tracheophyta,"['d82fa49b-915e-4aa8-acc6-51df3d431884\\\\795b3735-b2de-4506-8ab2-6c0e0fe7f674', 'urn:uuid:22d1f1a1-a3c5-4319-8e16-24c94670d6e8', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\545246', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\{795b3735-b2de-4506-8ab2-6c0e0fe7f674}']",15368,d82fa49b-915e-4aa8-acc6-51df3d431884,heuchera hirsutissima,hirsutissima,216,california,3032673,accepted,species,,d6a67a92-ad15-4812-ac9d-a43aba99798d,8/3/1968,,,,Heuchera hirsutissima,-116.4667,33.5333
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,john c. roos,,,north america,,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.18840579710144928,,,,,,909cb53ed397e711c8311338601c6467b076e1a0,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.53333, 'lon': -116.41667}",,false,false,,,,,ucr,,,plantae,,,,,,,santa rosa mtns,,,,,,,2287.0,,ucr-bps-24439,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-24439'],2784,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera hirsutissima,,239,california,3032645,accepted,genus,,c4c6c6d7-34f6-4710-841c-3c7277512b74,,,,,Heuchera hirsutissima,-116.41667,33.53333
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,j.c. lyman,,,north america,,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.17391304347826086,,,,,,88cd7bb8ca208dfaaf5a1be48492ca537c7a75b8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.75833, 'lon': -116.675}",,false,false,,,,,ucr,,,plantae,,,,,,,gully behind tahquitz peak,,,,,,,,,ucr-bps-23265,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-23265'],s.n.,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera hirsutissima,,148,california,3032645,accepted,genus,,e0ec6c0a-7697-429b-a05f-9b8309abc9e8,,,,,Heuchera hirsutissima,-116.675,33.75833
,,preservedspecimen,,heuchera hirsutissima,,magnoliopsida,,a70436a2-dfaa-482e-88e0-5193a66b0bfc,,martha hilend,,,north america,200.0,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,1928-08-07,2021-12-17T12:46:29.231423+00:00,0.2898550724637681,,,,,,9e6eda9c9ca4f7b291496dacc7e32c3949874483,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 33.8147, 'lon': -116.6796}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,la,,,plantae,,,,,,,san jacinto mountains; san jacinto peak; summit,,,,,,,,,7528cad0-1857-4771-a63e-5f337bcbdb0d,saxifragales,tracheophyta,"['ef77ec72-6537-41ab-a418-17f9a58e6e73\\\\7528cad0-1857-4771-a63e-5f337bcbdb0d', 'ef77ec72-6537-41ab-a418-17f9a58e6e73\\\\15488', 'urn:uuid:7528cad0-1857-4771-a63e-5f337bcbdb0d']",s.n.,ef77ec72-6537-41ab-a418-17f9a58e6e73,heuchera hirsutissima,hirsutissima,220,california,3032673,accepted,species,,50cc478c-89f9-4e47-878a-eec8b0257af6,7 august 1928,,,,Heuchera hirsutissima,-116.6796,33.8147
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,k. stolte,,,north america,,united states,usa,riverside,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.18840579710144928,,,,,,b3a032c4ce6bf40842eb149f8b3aa971d139fae9,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.86667, 'lon': -116.66667}",,false,false,,,,,ucr,,,plantae,,,,,,,snow creek,,,,,,,1677.0,,ucr-bps-30525,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-30525'],s.n.,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera hirsutissima,,163,california,3032645,accepted,genus,,3bd15dbc-4672-40fe-b447-469d45024082,,,,,Heuchera hirsutissima,-116.66667,33.86667
