associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera villosa,101136209,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,zack irick,,,north america,,united states,usa,hamilton,7ddf754f-d193-4cc9-b351-99906754a03b,,2019-07-13T21:07:03.051928+00:00,0.2318840579710145,,,,,,3506dadafc58d6158f41f01d35c039fa43713812,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_datasetid_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_scientificnameauthorship_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.3122167, 'lon': -85.1829667}",,false,false,,,1.0,villosa,mo,,,plantae,,,,,,,"in the vicinity of the cliffline above board camp creek, south of the wooden stairs. plants collected on a lower gorge sloe in rocky woods.",,,,,,,,,urn:catalog:mo:tropicos:101136209,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:101136209'],irick s.n.,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera villosa var. villosa,villosa,225,tennessee,3032655,accepted,species,,2b25ea06-1302-47a3-bfac-e01e9243f778,,,,,Heuchera villosa var. villosa,-85.1829667,35.3122167
,,preservedspecimen,,heuchera villosa,,magnoliopsida,,1d328472-3b59-43d8-834c-385410415424,,frosty levy; elaine walker,,,north america,,united states,usa,unicoi,7ddf754f-d193-4cc9-b351-99906754a03b,2011-10-08,2021-11-03T12:43:59.236263+00:00,0.2463768115942029,,,,,,eff5c21d3ca420c4eaf854802daf3b31090c99d5,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.05246, 'lon': -82.57445}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,etsu,,,plantae,,,,,,,"0.25 mi ene of jct of flint cr and rocky fk, mid s slope outcrop, elev. 2800 ft",,,,,,,,flag pond,7d8f1347-dc9c-471b-8993-3222278c1e57,saxifragales,tracheophyta,"['urn:uuid:7d8f1347-dc9c-471b-8993-3222278c1e57', '21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\7d8f1347-dc9c-471b-8993-3222278c1e57', '21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\20492291']",,21b563bc-70c2-46d5-bce8-2489db2db3d8,heuchera villosa var. villosa,villosa,281,tennessee,3032655,accepted,species,,addf89f2-76f1-4471-9fac-f59b934f872e,2011-10-8,,,,Heuchera villosa var. villosa,-82.57445,36.05246
,,preservedspecimen,,heuchera villosa,ind-0046577,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,620.0,united states,usa,harrison,7ddf754f-d193-4cc9-b351-99906754a03b,1922-05-11,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,6ee6a69ab8ad6c7a00337d6a3181b633968b2d78,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.018128, 'lon': -86.111555}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ind,,,plantae,,,,,,,bank of the ohio river about 2 1/4 mi. southwest of laconia,,,,eb0a74f2-3954-4d0f-970e-1b62011b2c74,,,,,7d317fb5-916a-4af2-bd8b-f6a8b1bcd4e0,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\7d317fb5-916a-4af2-bd8b-f6a8b1bcd4e0', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372670', 'urn:uuid:7d317fb5-916a-4af2-bd8b-f6a8b1bcd4e0']",35549,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera villosa var. villosa,villosa,131,indiana,3032655,accepted,species,,e257e109-45a1-438c-ab88-ee5bd478f459,may 11 1922,,,,Heuchera villosa var. villosa,-86.111555,38.018128
,,preservedspecimen,,heuchera villosa,ind-0046584,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,george s. ramseur,,,north america,1800.0,united states,usa,watauga,7ddf754f-d193-4cc9-b351-99906754a03b,1957-08-05,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,d4c79764bfdcbe6f8cc75938ec18b0ba9345f1ee,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.112556, 'lon': -81.810641}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ind,,,plantae,,,,,,,"calloway peak, near summit",,,,5db1a878-d59c-4e6e-b77b-d91ad0955ac0,,,,,1cf597a6-3a77-4c7f-8b1c-9fd071b98caa,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\1cf597a6-3a77-4c7f-8b1c-9fd071b98caa', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372734', 'urn:uuid:1cf597a6-3a77-4c7f-8b1c-9fd071b98caa']",3943,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera villosa var. villosa,villosa,217,north carolina,3032655,accepted,species,,e9736aa1-1284-4157-baec-56a43a6333f9,"august 5, 1957",,,,Heuchera villosa var. villosa,-81.810641,36.112556
,,preservedspecimen,,heuchera villosa,ncu00180499,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"radford, a. e.",,,north america,908.0,united states,usa,alleghany,7ddf754f-d193-4cc9-b351-99906754a03b,1958-07-31,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,6416fde5d1f74834131dbd5738df408d150a91d2,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.566448, 'lon': -81.151471}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ncu,,,plantae,,,,,,,"near new river and us. 21, 3 miles n. of twin oaks",,,,fbb5cad6-9a51-4b94-9afc-bb34d2f133d6,,,,,0c8082c8-dee7-4096-94a9-3cfca66f3627,saxifragales,tracheophyta,"['urn:uuid:0c8082c8-dee7-4096-94a9-3cfca66f3627', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\9004764', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\0c8082c8-dee7-4096-94a9-3cfca66f3627']",38391,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera villosa var. villosa,villosa,212,north carolina,3032655,accepted,species,,e9f907a7-ee19-4245-8607-6ba6b930245c,,,,,Heuchera villosa var. villosa,-81.151471,36.566448
,,preservedspecimen,,heuchera villosa,ncu00180507,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"radford, a. e.",,,north america,4661.0,united states,usa,cherokee,7ddf754f-d193-4cc9-b351-99906754a03b,1956-08-31,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,f98313f30e922277fb56ffd4de7c70bd4fe48573,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.213727, 'lon': -83.988725}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ncu,,,plantae,,,,,,,4.5 miles ne. of grand view [sic; grandview],,,,cdd51570-fe2f-4686-993c-7e84d6e1f738,,,,,f4013820-a143-40f0-8e45-3465c35a24e7,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\f4013820-a143-40f0-8e45-3465c35a24e7', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\9005185', 'urn:uuid:f4013820-a143-40f0-8e45-3465c35a24e7']",17552,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera villosa var. villosa,villosa,244,north carolina,3032655,accepted,species,,fe6f6c59-f27f-449e-91fb-9b43dcc4f227,,,,,Heuchera villosa var. villosa,-83.988725,35.213727
,,preservedspecimen,,heuchera villosa,ind-0046585,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,[collector not indicated],,,north america,1420.0,united states,usa,carter,7ddf754f-d193-4cc9-b351-99906754a03b,1908-07-14,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,13e2c5caa2103aba2870bdefb3c4cd1a56b2ba98,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.19623, 'lon': -82.0704}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ind,,,plantae,,,,,,,roan mountain,,,,4a7dd60a-f91c-4899-87a9-4b8037f89fb9,,,,,08a45854-7559-48c6-bb46-a5264abda134,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\08a45854-7559-48c6-bb46-a5264abda134', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372729', 'urn:uuid:08a45854-7559-48c6-bb46-a5264abda134']",508h,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera villosa var. villosa,villosa,196,tennessee,3032655,accepted,species,,137c990a-ed21-4fde-9902-d38eb0fdcfa3,"july 14, 1908",,,,Heuchera villosa var. villosa,-82.0704,36.19623
,,preservedspecimen,,heuchera villosa,etsu005290,magnoliopsida,,1d328472-3b59-43d8-834c-385410415424,,frosty levy; elaine walker,,,north america,,united states,usa,unicoi,7ddf754f-d193-4cc9-b351-99906754a03b,2011-10-01,2021-12-17T14:36:21.552098+00:00,0.2608695652173913,,,,,,93205bee6dc044b8f3f3254ae57e798a107f49e8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.08784, 'lon': -82.52094}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,etsu,,,plantae,,,,,,,"s slope on n side of higgins creek, drainage from chestnut knob to end of lower higgins cr road, streamside at base of large rock outcrop, elev 2600 ft",,,,0bcf3964-0525-4638-af18-65c4b6c24e36,,,,erwin,667c9a73-cc9c-498c-9e6c-3bff35ba49b7,saxifragales,tracheophyta,"['21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\16859755', '21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\667c9a73-cc9c-498c-9e6c-3bff35ba49b7', 'urn:uuid:667c9a73-cc9c-498c-9e6c-3bff35ba49b7']",,21b563bc-70c2-46d5-bce8-2489db2db3d8,heuchera villosa var. villosa,villosa,274,tennessee,3032655,accepted,species,,8409861d-e411-4e1c-a402-57960caa47f4,2011-10-1,,,,Heuchera villosa var. villosa,-82.52094,36.08784
,,preservedspecimen,,heuchera villosa,ncu00180517,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"radford, a. e.",,,north america,449.0,united states,usa,jackson,7ddf754f-d193-4cc9-b351-99906754a03b,1947-08-23,2022-04-27T13:54:29.080943+00:00,0.2753623188405797,,,,,,51a9106c5c69fa483b529277d441524222365cf4,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.413946, 'lon': -83.100874}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ncu,,,plantae,,,,,,,dark ridge olivine deposit 1.25 mi sw balsam,,,,c3255c67-ca81-48ef-9b6b-acc19a4e850a,,,,,e8e6db48-e6aa-477b-9cd6-5e040e711d98,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\e8e6db48-e6aa-477b-9cd6-5e040e711d98', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\9005896', 'urn:uuid:e8e6db48-e6aa-477b-9cd6-5e040e711d98']",s.n.,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera villosa var. villosa,villosa,235,north carolina,3032655,accepted,species,,bc8f0a6b-43f7-447c-b1a3-03a98b9c2103,,,,,Heuchera villosa var. villosa,-83.100874,35.413946
,,preservedspecimen,,heuchera villosa,etsu007764,magnoliopsida,,1d328472-3b59-43d8-834c-385410415424,,"frosty levy; elaine walker, sollie walker",,,north america,,united states,usa,unicoi,7ddf754f-d193-4cc9-b351-99906754a03b,2009-09-14,2021-12-17T14:36:21.552098+00:00,0.2608695652173913,,,,,,3fd42a1ee1e4537bdf28aca215e23edce7e4b061,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.08815, 'lon': -82.53317}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,etsu,,,plantae,,,,,,,cliff edge above higgins cr.waterfall,,,,75106c96-7ec6-4e0b-b5b2-00d0adb2e38b,,,,erwin,47396965-1a5f-424b-ac05-cba47517105a,saxifragales,tracheophyta,"['21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\16987268', '21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\47396965-1a5f-424b-ac05-cba47517105a', 'urn:uuid:47396965-1a5f-424b-ac05-cba47517105a']",,21b563bc-70c2-46d5-bce8-2489db2db3d8,heuchera villosa var. villosa,villosa,257,tennessee,3032655,accepted,species,,161990b5-dbe8-436f-986b-08393e1183f3,2009-9-14,,,,Heuchera villosa var. villosa,-82.53317,36.08815
,,preservedspecimen,,heuchera villosa,ncu00180504,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"wells, elizabeth f.",,,north america,1807.0,united states,usa,burke,7ddf754f-d193-4cc9-b351-99906754a03b,1975-08-23,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,f1d92ae7685465580047cb7531f634366c571877,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.890961, 'lon': -81.882886}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ncu,,,plantae,,,,,,,along dirt road near summit of road to table rock mountain,,,,4b2e6165-84a7-45d9-af7d-ce6dbfad0fd6,,,,,1438481a-56c2-4bd3-acd2-a1b999ea187d,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\1438481a-56c2-4bd3-acd2-a1b999ea187d', 'urn:uuid:1438481a-56c2-4bd3-acd2-a1b999ea187d', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\9005032']",3264,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera villosa var. villosa,villosa,235,north carolina,3032655,accepted,species,,7e6cbe33-b61d-4f14-beb8-e101bbf583b5,,,,,Heuchera villosa var. villosa,-81.882886,35.890961
,,preservedspecimen,,heuchera villosa,ncu00190370,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"radford, a. e.",,,north america,471.0,united states,usa,rabun,7ddf754f-d193-4cc9-b351-99906754a03b,1946-06-21,2022-04-27T13:54:29.080943+00:00,0.2753623188405797,,,,,,7d34e1466e5f79f7a58b68d2e441b0f300e6325e,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.950516, 'lon': -83.16349}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ncu,,,plantae,,,,,,,laurel creek olivine deposit 1.5 mi e pine mt,,,,e0473f7e-5d67-4f4e-9f9e-8c2f572a9f47,,,,,f67ebc11-69c1-4996-9b44-c3c712d07e35,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\f67ebc11-69c1-4996-9b44-c3c712d07e35', 'urn:uuid:f67ebc11-69c1-4996-9b44-c3c712d07e35', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\9593069']",s.n.,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera villosa var. villosa,villosa,172,georgia,3032655,accepted,species,,92ab388a-d5f7-4ee4-b569-5e95ef645bc3,,,,,Heuchera villosa var. villosa,-83.16349,34.950516
,,preservedspecimen,,heuchera villosa,,magnoliopsida,,1d328472-3b59-43d8-834c-385410415424,,frosty levy; jamey donaldson,,,north america,,united states,usa,unicoi,7ddf754f-d193-4cc9-b351-99906754a03b,2010-09-28,2021-11-03T12:43:59.236263+00:00,0.2463768115942029,,,,,,e5e60558ffc3512f2b54edfc7a8ceab60f0f30e1,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.06011, 'lon': -82.57935}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,etsu,,,plantae,,,,,,,common on rock outcroppings near small waterfall going downslope from wetland,,,,,,,,flag pond,9c238612-51bf-4bfb-b3eb-e89b07b27045,saxifragales,tracheophyta,"['21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\9c238612-51bf-4bfb-b3eb-e89b07b27045', '21b563bc-70c2-46d5-bce8-2489db2db3d8\\\\20492592', 'urn:uuid:9c238612-51bf-4bfb-b3eb-e89b07b27045']",,21b563bc-70c2-46d5-bce8-2489db2db3d8,heuchera villosa var. villosa,villosa,271,tennessee,3032655,accepted,species,,3903b536-1593-42e3-8f65-c8e8d48ee83e,2010-9-28,,,,Heuchera villosa var. villosa,-82.57935,36.06011
,,preservedspecimen,,heuchera villosa,ind-0046573,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,200.0,united states,usa,crawford,7ddf754f-d193-4cc9-b351-99906754a03b,1922-08-06,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,023d1670fdb3a500eb43941b773d6294408a1a3e,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.199785, 'lon': -86.362593}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ind,,,plantae,,,,,,,along the road and about 1 mi. west of leavenworth,,,,474b6aba-0b22-4360-a9dd-785322571567,,,,,ad0873ec-9487-4db6-a042-6c4a01a27264,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\ad0873ec-9487-4db6-a042-6c4a01a27264', 'urn:uuid:ad0873ec-9487-4db6-a042-6c4a01a27264', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10372694']",37318,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera villosa var. villosa,villosa,218,indiana,3032655,accepted,species,,7a995fa8-5505-4176-af7c-d314180d38e3,aug. 6 1922,,,,Heuchera villosa var. villosa,-86.362593,38.199785
,,preservedspecimen,,heuchera villosa,ncu00128863,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"memminger, edward read",,,north america,1872.0,united states,usa,henderson,7ddf754f-d193-4cc9-b351-99906754a03b,1896-10-01,2022-04-27T13:54:29.080943+00:00,0.2898550724637681,,,,,,4aa912ec3540319d358824fda902e2e4d4d35e20,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.300333, 'lon': -82.530825}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera villosa,,,villosa,ncu,,,plantae,,,,,,,jones' spring mt. hebron,,,,9009d3a7-81bf-4d67-b686-71b36f33edae,,,,,118059a9-0e2b-4e6b-aa8e-9f12c13bc9d2,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\9004136', 'urn:uuid:118059a9-0e2b-4e6b-aa8e-9f12c13bc9d2', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\118059a9-0e2b-4e6b-aa8e-9f12c13bc9d2']",s.n.,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera villosa var. villosa,villosa,275,north carolina,3032655,accepted,species,,fda3ceeb-5c84-45e0-ad4c-f83f0673c5a1,,,,,Heuchera villosa var. villosa,-82.530825,35.300333
