associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera micrantha,394775,magnoliopsida,vascular,,,eliza habegger,,,north america,10.0,united states,usa,san juan,7ddf754f-d193-4cc9-b351-99906754a03b,2008-05-29,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,6e794a1bdb6af310edc44c9516ed1010619d2106,saxifragaceae,,"['rev_geocode_eez', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.533, 'lon': -122.970333}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,san juan islands national wildlife refuge and wilderness area. turn island. large island 0.25 miles off the east shore of san juan island.,,,,,,,,,2872ed99-71fc-4135-b1d1-c43f39e30ae1,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\2872ed99-71fc-4135-b1d1-c43f39e30ae1', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\168414', 'f1393fb7-27ea-46bf-934b-7290c0adc25a']",eh1140,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,150,washington,8365087,accepted,species,,1668d279-c3b3-4a2d-9285-e3385848e541,,,,,Heuchera micrantha var. diversifolia,-122.970333,48.533
,,preservedspecimen,,heuchera micrantha,261734,magnoliopsida,vascular,,,k. l. chambers,,,north america,805.0,united states,usa,clatsop,7ddf754f-d193-4cc9-b351-99906754a03b,1973-06-11,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,f92783b3f84348b782d489e131b8e0ad7b169e12,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 45.86174310830754, 'lon': -123.8563404129229}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,"sugarloaf mountain, about 5 miles southeast of cannon beach.",,,,,,,854.0,,b8b5601e-347f-4329-a95d-cb9f86366ba4,saxifragales,tracheophyta,"['da71a885-cffe-4149-9e6d-f1f96ddb32f5', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82900', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\b8b5601e-347f-4329-a95d-cb9f86366ba4']",3755,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,162,oregon,8365087,accepted,species,,97d1a52a-b269-432a-92ab-01da423d8711,,,,,Heuchera micrantha var. diversifolia,-123.8563404129229,45.86174310830754
,,preservedspecimen,,heuchera micrantha,361085,magnoliopsida,vascular,,,j. m. grant,,,north america,1000.0,united states,usa,island,7ddf754f-d193-4cc9-b351-99906754a03b,1923-06,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,3e8f1b1c76a446542ed65398e41c6b04b0f0e525,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.041519307808244, 'lon': -122.4079158213856}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,langley.,,,,,,,,,a0641d47-b602-4ead-b2be-f24ea5c32cf7,saxifragales,tracheophyta,"['1b9734e1-a59a-42e6-9b17-09af672edc65', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\a0641d47-b602-4ead-b2be-f24ea5c32cf7', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\85488']",2063,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,162,washington,8365087,accepted,species,,1ee83ddb-390c-462d-b9ed-78c811f2b063,,,,,Heuchera micrantha var. diversifolia,-122.4079158213856,48.041519307808244
,,preservedspecimen,,heuchera micrantha,389019,magnoliopsida,vascular,,,pam camp,,,north america,,united states,usa,san juan,7ddf754f-d193-4cc9-b351-99906754a03b,2006-06-01,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,e6f79b4ad8ca34482dcb350277dfada65eb2f14f,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.61385, 'lon': -122.974533}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,san juan islands. u.s. blm land. victim island.,,,,,,,15.0,,9e50ab35-a6b3-4f36-a9e8-04dcd4db5288,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\9e50ab35-a6b3-4f36-a9e8-04dcd4db5288', '77e65846-382a-4352-83c3-f89bb8d56627', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\154419']",06-131,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,152,washington,8365087,accepted,species,,f811d1da-7ff7-4955-99e8-9b95f3edf75e,,,,,Heuchera micrantha var. diversifolia,-122.974533,48.61385
,,preservedspecimen,,heuchera micrantha,8695,magnoliopsida,vascular,,,yeo b. regg,,,north america,5000.0,united states,usa,island,7ddf754f-d193-4cc9-b351-99906754a03b,1908-06,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,c03c784224e28064c39c7360689b7b6f08c7878a,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.534266, 'lon': -123.017124}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,friday harbor.,,,,,,,,,97830629-6b22-43a9-86a8-2e4140ad3df0,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\97830629-6b22-43a9-86a8-2e4140ad3df0', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82666', 'a8c2c3fe-31b0-4e23-b91c-82d60838dfc9']",s.n.,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,163,washington,8365087,accepted,species,,2bbd94ac-556b-4559-b313-92e4e4bdd0fa,,,,,Heuchera micrantha var. diversifolia,-123.017124,48.534266
,,preservedspecimen,,heuchera micrantha,172583,magnoliopsida,vascular,,,j. william thompson,,,north america,5000.0,united states,usa,whatcom,7ddf754f-d193-4cc9-b351-99906754a03b,1953-08,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,c70424aea8b4ee563e741da0dd7de6d235a9b7f5,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.95194, 'lon': -121.63444}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,"near twin lakes, cascade mountains.",,,,,,,1829.0,,8b5ae810-b998-4a32-8296-45ff22bbe63f,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\8b5ae810-b998-4a32-8296-45ff22bbe63f', 'e5da5c02-b37f-4605-b661-d32eb67ce180', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82690']",17460,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,223,washington,8365087,accepted,species,,e7d3a660-a010-4994-8b0f-18198eb36510,,,,,Heuchera micrantha var. diversifolia,-121.63444,48.95194
,,preservedspecimen,,heuchera micrantha,8962jwt,magnoliopsida,vascular,,,j. william thompson,,,north america,10000.0,united states,usa,jefferson,7ddf754f-d193-4cc9-b351-99906754a03b,1931-05-30,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,7eebf7e11fce9d9385465b3c0be89a2dfe83d4b5,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 47.87222, 'lon': -123.66667}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,olympic mountains. along the dosewallops river.,,,,,,,152.0,,688e1dfd-6f8e-4dab-bf71-a12aed3a8b66,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82713', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\688e1dfd-6f8e-4dab-bf71-a12aed3a8b66', '43839e19-394a-4c41-bb0b-93f6c42c6d9c']",6543,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,150,washington,8365087,accepted,species,,1dd9ffb5-f56c-4ee4-8103-b235cf0c7b4a,,,,,Heuchera micrantha var. diversifolia,-123.66667,47.87222
,,preservedspecimen,,heuchera micrantha,355536,magnoliopsida,vascular,,,ben legler,,,north america,,united states,usa,wahkiakum,7ddf754f-d193-4cc9-b351-99906754a03b,2003-06-01,2021-09-19T20:33:48.370392+00:00,0.2028985507246377,,,,,,99b024bada36e02b1f32aa92ff506ad82b2026f4,saxifragaceae,,"['geopoint_datum_missing', 'rev_geocode_eez', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 46.267417, 'lon': -123.669056}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,"harrington point, along altoona road 1/4 mile north of altoona, north shore of columbia river.",,,,,,,12.0,,f1540666-0f1c-43e0-919c-dfababd63118,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\27319', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\f1540666-0f1c-43e0-919c-dfababd63118', '91269119-2c9f-4ad4-b8ab-7cd824bddf40']",573,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,152,washington,8365087,accepted,species,,6aadc6f8-dc6b-48e3-9431-85236f43a543,,,,,Heuchera micrantha var. diversifolia,-123.669056,46.267417
,,preservedspecimen,,heuchera micrantha,388841,magnoliopsida,vascular,,,ben legler,,,north america,13.0,united states,usa,san juan,7ddf754f-d193-4cc9-b351-99906754a03b,2006-05-30,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,d2bc484165556c18aacee0d07454d2668d8de278,saxifragaceae,,"['rev_geocode_eez', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 48.595783, 'lon': -123.024483}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,san juan islands. northwest shore of mcconnell island; off southwest side of orcas island.,,,,,,,8.0,,842d52e4-077e-46b1-9947-bd14f8491743,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\842d52e4-077e-46b1-9947-bd14f8491743', 'fbcd1762-b4ab-4782-b08a-7a9c23b6c84d', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\154360']",3417,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,150,washington,8365087,accepted,species,,e3d65b0d-9031-4533-b924-c13abb677c53,,,,,Heuchera micrantha var. diversifolia,-123.024483,48.595783
,,preservedspecimen,,heuchera micrantha,371803,magnoliopsida,vascular,,,david giblin,,,north america,,united states,usa,skagit,7ddf754f-d193-4cc9-b351-99906754a03b,2006-05-23,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,d18bbe2249e8c4b97976b4a01c151208b1874463,saxifragaceae,,"['rev_geocode_eez', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.535283, 'lon': -122.55555}",,false,false,saxifragaceae,,,diversifolia,wtu,,,plantae,,,,,,,padilla bay national estuarine research reserve. saddlebag island.,,,,,,,5.0,,285ed767-3ffc-4129-9962-ed1b4c8ca6fa,saxifragales,tracheophyta,"['09b2df72-6323-4b3c-979c-20bacfa798eb', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\155264', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\285ed767-3ffc-4129-9962-ed1b4c8ca6fa']",420,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera micrantha var. diversifolia,micrantha,143,washington,8365087,accepted,species,,96f561d6-93db-41c9-a20d-a3d66c4df379,,,,,Heuchera micrantha var. diversifolia,-122.55555,48.535283
