associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera americana,ind-0156381,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,5005.0,united states,usa,clark,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1910-06-30,2021-12-17T14:42:25.629739+00:00,0.30434782608695654,,,,,,be10152223400338a6efa8e99f9fb044d07f4a97,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.591359, 'lon': -85.784829}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,ind,,,plantae,,,,,,,state reservation. on north boundary.,,,,7dc2f1bd-e9a0-4c33-a739-7f9e79bd4da0,,,,,060fc0cf-8abc-4621-9dee-126397d13859,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\21835791', 'urn:uuid:060fc0cf-8abc-4621-9dee-126397d13859', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\060fc0cf-8abc-4621-9dee-126397d13859']",6902,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera americana var. hirsuticaulis,americana,181,indiana,7412817,doubtful,species,dummy sheet for paratype,9c1ca5c5-15d0-454c-9fb4-6130faa6f4c0,june 30 1910,,,,Heuchera americana var. hirsuticaulis,-85.784829,38.591359
,,preservedspecimen,,heuchera americana,ind-0046430,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,250.0,united states,usa,boone,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1927-06-26,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,1de9f2839109842a55a191281b2384a1d1852b33,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.143968, 'lon': -86.585993}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,ind,,,plantae,,,,,,,sugar creek about 3 mi. northeast of thorntown,,,,3aca03b1-6c37-438c-a9be-bcb77134e75d,,,,,59c53f19-358a-41f9-8523-7302e8292dd4,saxifragales,tracheophyta,"['urn:uuid:59c53f19-358a-41f9-8523-7302e8292dd4', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10367610', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\59c53f19-358a-41f9-8523-7302e8292dd4']",44806,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera americana var. hirsuticaulis,americana,177,indiana,7412817,doubtful,species,,b81936ee-9d0a-418f-b528-06fb152a0e1e,june 26 1927,,,,Heuchera americana var. hirsuticaulis,-86.585993,40.143968
,,preservedspecimen,,heuchera americana,ind-0136475,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,350.0,united states,usa,steuben,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1904-06-12,2021-12-17T14:42:25.629739+00:00,0.30434782608695654,,,,,,63ea2de4a507a8c04c99cb58c26dc66218bb83c7,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 41.742214, 'lon': -84.831905}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,ind,,,plantae,,,,,,,0.25 miles north of clear lake,,,,0b4a3ff2-2e4b-4fbd-b01e-40291ef03779,,,,,93dcd91d-9def-4a57-a12b-94cad8a1b373,saxifragales,tracheophyta,"['urn:uuid:93dcd91d-9def-4a57-a12b-94cad8a1b373', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\93dcd91d-9def-4a57-a12b-94cad8a1b373', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\19492942']",s.n.,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera americana var. hirsuticaulis,americana,164,indiana,7412817,doubtful,species,dummy sheet for paratype,666a3c2f-d65b-4eef-8783-b40f0d6c289d,june 12 1904,,,,Heuchera americana var. hirsuticaulis,-84.831905,41.742214
,,preservedspecimen,,heuchera americana,ind-0046455,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,flora c. anderson,,,north america,2500.0,united states,usa,montgomery,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1913-06-12,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,47d6d91a7e0ffc2da4004b321a8574aa65adcc5c,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.039971, 'lon': -86.898141}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,ind,,,plantae,,,,,,,crawfordsville,,,,3d2fe8ba-6475-42d3-ad21-bd205fa862ef,,,,,29cb477a-ad95-4681-ad0c-beeaafdcd104,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10367744', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\29cb477a-ad95-4681-ad0c-beeaafdcd104', 'urn:uuid:29cb477a-ad95-4681-ad0c-beeaafdcd104']",1737,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera americana var. hirsuticaulis,americana,163,indiana,7412817,doubtful,species,,6d268bb2-3927-4e7e-be3d-67007f726aac,"june 12, 1913",,,,Heuchera americana var. hirsuticaulis,-86.898141,40.039971
,,preservedspecimen,,heuchera americana,ind-0046451,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,450.0,united states,usa,martin,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1913-05-20,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,045785c5e02b9c00b2787f74fe76cc3a0848acf4,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.692784, 'lon': -86.79317}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,ind,,,plantae,,,,,,,"white river about 2 miles above shoals, locally known as cedar cliff",,,,f0e90d58-7222-47c8-a13d-f4304859f7a9,,,,,ada00b02-9272-4654-adf1-8ed9c6c0634d,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10367756', 'urn:uuid:ada00b02-9272-4654-adf1-8ed9c6c0634d', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\ada00b02-9272-4654-adf1-8ed9c6c0634d']",12880,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera americana var. hirsuticaulis,americana,140,indiana,7412817,doubtful,species,,0ab33aab-753b-42aa-ba68-aae5f5579baf,may 20 1913,,,,Heuchera americana var. hirsuticaulis,-86.79317,38.692784
,,preservedspecimen,,heuchera americana,239313,magnoliopsida,kanu,,,carol kuhn; david turner,,,north america,368.0,united states,usa,camden,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1990-05-31,2022-03-11T03:30:07.872873+00:00,0.2898550724637681,,,,,,a42397119bc2686ca1de166dac4a609a6e82148d,saxifragaceae,920,"['dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 37.937485, 'lon': -92.844537}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,near sho-me power corporation's hydroelectric power plant,,,,,,,,,04e63032-ba8b-11e3-8cfe-90b11c41863e,saxifragales,tracheophyta,['d7b285d4-2643-45ee-9302-b0c3d51dda5c\\\\04e63032-ba8b-11e3-8cfe-90b11c41863e'],,d7b285d4-2643-45ee-9302-b0c3d51dda5c,heuchera americana var. hirsuticaulis,americana,151,missouri,7412817,doubtful,species,,0db72dae-a83e-4f8c-9f94-8c00e8f1bfb4,,,,,Heuchera americana var. hirsuticaulis,-92.844537,37.937485
,,preservedspecimen,,heuchera americana,,magnoliopsida,,b01784c6-c5d7-11e4-b6af-00163e00498d,,r.a. evers,,,north america,,united states,usa,johnson,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1968-06-11,2018-08-24T10:38:56.047928+00:00,0.21739130434782608,,,,,,bc45c306bb60bc0617d47e1963fb82f37f8499e0,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'gbif_vernacularname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.5121, 'lon': -88.9057}",,false,false,,,,hirsuticaulis,ills,,,plantae,,,,,,,bensons bluff southeast of goreville. the latitude / longitude and t.r. sect. are an estimate to allow approximate location of benson bluff. goreville 7.5 minute quadrangle.,,,,,,,,,11bdba71-38cc-4f2e-817f-39590e0ee96f,saxifragales,tracheophyta,"['f0174bc9-0cca-450e-a941-655d80040139\\\\6917528', 'urn:uuid:11bdba71-38cc-4f2e-817f-39590e0ee96f', 'f0174bc9-0cca-450e-a941-655d80040139\\\\11bdba71-38cc-4f2e-817f-39590e0ee96f']",94993,f0174bc9-0cca-450e-a941-655d80040139,heuchera americana var. hirsuticaulis,americana,163,illinois,7412817,doubtful,species,,efc59f63-ca49-47e1-af63-4756a6eba0e3,,,,,Heuchera americana var. hirsuticaulis,-88.9057,37.5121
,,preservedspecimen,,heuchera americana,ind-0046463,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,charles c. deam,,,north america,750.0,united states,usa,vermillion,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1932-05-21,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,dbb0558a261946b282053245b253b349805684cf,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.795242, 'lon': -87.427356}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,ind,,,plantae,,,,,,,3 mi. west of montezuma,,,,9917f6bf-5b2e-4905-b898-e7cb448a1cd5,,,,,374f7ab3-94a8-4920-a1de-a7d4c1470c10,saxifragales,tracheophyta,"['0dab1fc7-ca99-456b-9985-76edbac003e0\\\\374f7ab3-94a8-4920-a1de-a7d4c1470c10', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10367818', 'urn:uuid:374f7ab3-94a8-4920-a1de-a7d4c1470c10']",51834,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera americana var. hirsuticaulis,americana,142,indiana,7412817,doubtful,species,,a318a50d-18b2-40ee-aed1-98a31ef4087c,may 21 1932,,,,Heuchera americana var. hirsuticaulis,-87.427356,39.795242
,,preservedspecimen,,heuchera americana,ind-0046462,magnoliopsida,,28be2df2-5062-4277-a5d8-fdd890b9b10b,,herman b. dorner,,,north america,300.0,united states,usa,tippecanoe,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1900-05-31,2021-12-17T14:42:25.629739+00:00,0.2753623188405797,,,,,,0748e7dc61f3b5cd5a2dda553266996bae203ed0,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.449474, 'lon': -86.852148}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,ind,,,plantae,,,,,,,along wabash railroad near wildcat creek,,,,81b65603-706b-4910-98a7-a5e9f2eae34a,,,,,fb06a958-3dc7-4386-918c-6d9ae0d542ce,saxifragales,tracheophyta,"['urn:uuid:fb06a958-3dc7-4386-918c-6d9ae0d542ce', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\10367821', '0dab1fc7-ca99-456b-9985-76edbac003e0\\\\fb06a958-3dc7-4386-918c-6d9ae0d542ce']",s.n.,0dab1fc7-ca99-456b-9985-76edbac003e0,heuchera americana var. hirsuticaulis,americana,151,indiana,7412817,doubtful,species,,dfb3560b-90b1-4da3-baee-30df956641b8,may 31 1900,,,,Heuchera americana var. hirsuticaulis,-86.852148,40.449474
,,preservedspecimen,,heuchera americana,asu0053488,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,jon p. rebman,,,north america,1000.0,united states,usa,barry,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1988-06-19,2021-12-17T13:53:42.788129+00:00,0.2753623188405797,,,,,,91a79d858a576b026f78b6bc57209bc0d5583624,saxifragaceae,,"['dwc_multimedia_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_country_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.678587, 'lon': -93.584153}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera americana,,,hirsuticaulis,asu,,,plantae,,,,,,,"piney creek wilderness, buck hollow trail.",,,,c68dfef1-fc67-4ffe-812f-d7b6ece66056,,,,,55884b04-1198-4104-bb04-f45bd3b25c6d,saxifragales,tracheophyta,"['urn:uuid:55884b04-1198-4104-bb04-f45bd3b25c6d', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:55884b04-1198-4104-bb04-f45bd3b25c6d', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\2431514', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\55884b04-1198-4104-bb04-f45bd3b25c6d']",1065,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera americana var. hirsuticaulis,americana,171,missouri,7412817,doubtful,species,,0b121a91-ee7d-470b-a011-b9a24f73830d,,,,,Heuchera americana var. hirsuticaulis,-93.584153,36.678587
,,preservedspecimen,,heuchera americana,239316,magnoliopsida,kanu,,,delzie demaree,,,north america,14772.0,united states,usa,craighead,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1952-05-21,2022-03-11T03:30:07.872873+00:00,0.2898550724637681,,,,,,d8bcbcbd49a62894acb7b9ed856efac3d0affc01,saxifragaceae,31863,"['dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 35.839954, 'lon': -90.685567}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,state college,,,,,,,,,5a0ed7df-c4d7-4d11-948d-3f8b57b03c46,saxifragales,tracheophyta,['d7b285d4-2643-45ee-9302-b0c3d51dda5c\\\\5a0ed7df-c4d7-4d11-948d-3f8b57b03c46'],,d7b285d4-2643-45ee-9302-b0c3d51dda5c,heuchera americana var. hirsuticaulis,americana,142,arkansas,7412817,doubtful,species,,68ebe3a3-8d4f-4179-ae98-85c312628afc,,,,,Heuchera americana var. hirsuticaulis,-90.685567,35.839954
,,preservedspecimen,,heuchera americana,239302,magnoliopsida,kanu,,,john taylor; connie taylor,,,north america,9043.0,united states,usa,le flore,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1974-04-27,2022-03-11T03:30:07.872873+00:00,0.2898550724637681,,,,,,4b32eca20dcbaa700d041c52e55fe07ee46569a6,saxifragaceae,16035,"['dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 34.578116, 'lon': -94.567875}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,"branch of eagle fork creek along the n side of blue bouncer mountain, ca 11 mi ne of octavia",,,,,,,,,375d54bd-8b16-430e-a1ff-5cdfe73af37e,saxifragales,tracheophyta,['d7b285d4-2643-45ee-9302-b0c3d51dda5c\\\\375d54bd-8b16-430e-a1ff-5cdfe73af37e'],,d7b285d4-2643-45ee-9302-b0c3d51dda5c,heuchera americana var. hirsuticaulis,americana,117,oklahoma,7412817,doubtful,species,,a6144ae0-e425-4733-b966-16b7c94c23fa,,,,,Heuchera americana var. hirsuticaulis,-94.567875,34.578116
,,preservedspecimen,,heuchera americana,239294,magnoliopsida,kanu,,,steve stephens,,,north america,7155.0,united states,usa,stone,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1968-05-04,2022-03-11T03:30:07.872873+00:00,0.2898550724637681,,,,,,93c1546b930b42d0d2d23945d3f78c321895af37,saxifragaceae,20054,"['dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 36.49775, 'lon': -93.48798}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,"blue eye, 5 mi w",,,,,,,,,6fa037fd-c108-40e1-8e12-266325b44759,saxifragales,tracheophyta,['d7b285d4-2643-45ee-9302-b0c3d51dda5c\\\\6fa037fd-c108-40e1-8e12-266325b44759'],,d7b285d4-2643-45ee-9302-b0c3d51dda5c,heuchera americana var. hirsuticaulis,americana,125,arkansas,7412817,doubtful,species,,6678de08-0ecd-4010-829b-a4dd7ce3efca,,,,,Heuchera americana var. hirsuticaulis,-93.48798,36.49775
,,preservedspecimen,,heuchera americana,,magnoliopsida,,b01784c6-c5d7-11e4-b6af-00163e00498d,,"loy r. phillippe, allen plocher, & paul tessene",,,north america,,united states,usa,alexander,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1994-05-03,2018-08-24T10:38:56.047928+00:00,0.21739130434782608,,,,,,d36cc3733a48f9876a2601c3accb4ba967655b46,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'gbif_vernacularname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_taxonremarks_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.30718, 'lon': -89.37846}",,false,false,,,,hirsuticaulis,ills,,,plantae,,,,,,,shawnee national forest. jonesboro ranger district. compartment j-94. dry wooded slope on ridgetop and upper slopes of mesic ravine. southern section of the ozark natural division. coordinate datum: wgs84/nad83.,,,,,,,,,3f191c3f-522d-4c03-911d-7947358fb230,saxifragales,tracheophyta,"['f0174bc9-0cca-450e-a941-655d80040139\\\\7097496', 'urn:uuid:3f191c3f-522d-4c03-911d-7947358fb230', 'f0174bc9-0cca-450e-a941-655d80040139\\\\3f191c3f-522d-4c03-911d-7947358fb230']",23779,f0174bc9-0cca-450e-a941-655d80040139,heuchera americana var. hirsuticaulis,americana,123,illinois,7412817,doubtful,species,,2212fb2c-7b62-482a-957f-3307d2ec5cab,,,,,Heuchera americana var. hirsuticaulis,-89.37846,37.30718
,,preservedspecimen,,heuchera americana,239305,magnoliopsida,kanu,,,peter h raven; tamara engelhorn raven,,,north america,,united states,usa,jefferson,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1987-05-17,2022-03-11T03:30:07.872873+00:00,0.2608695652173913,,,,,,f6f78af9165f35362c8ccc34f1a7700a0b30ccdc,saxifragaceae,27489,"['geopoint_datum_error', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 38.125, 'lon': -90.675}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,"desoto, 6.5 mi (10.5 km) w",,,,,,,,,050a4bcb-ba8b-11e3-8cfe-90b11c41863e,saxifragales,tracheophyta,['d7b285d4-2643-45ee-9302-b0c3d51dda5c\\\\050a4bcb-ba8b-11e3-8cfe-90b11c41863e'],,d7b285d4-2643-45ee-9302-b0c3d51dda5c,heuchera americana var. hirsuticaulis,americana,137,missouri,7412817,doubtful,species,,8ca38f5e-8599-4d7a-8461-a325c3416ea6,,,,,Heuchera americana var. hirsuticaulis,-90.675,38.125
,,preservedspecimen,,heuchera americana,239301,magnoliopsida,kanu,,,ralph e brooks; ronald l mcgregor,,,north america,1245.0,united states,usa,stone,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1979-05-23,2022-03-11T03:30:07.872873+00:00,0.2898550724637681,,,,,,80e253e9b39c66569d4f793236ee2ab6018aaa56,saxifragaceae,14177,"['dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 36.562756, 'lon': -93.389718}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,"blue eye, 4 mi n; cow creek recreation area",,,,,,,,,026aa528-ba8b-11e3-8cfe-90b11c41863e,saxifragales,tracheophyta,['d7b285d4-2643-45ee-9302-b0c3d51dda5c\\\\026aa528-ba8b-11e3-8cfe-90b11c41863e'],,d7b285d4-2643-45ee-9302-b0c3d51dda5c,heuchera americana var. hirsuticaulis,americana,143,missouri,7412817,doubtful,species,,7ed774d9-67f0-45fa-b67c-13a4e05155f5,,,,,Heuchera americana var. hirsuticaulis,-93.389718,36.562756
