associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera chlorantha,124832,magnoliopsida,vascular,,,"ron mastrogiuseppe, joy mastrogiuseppe",,,north america,800.0,united states,usa,deschutes,7ddf754f-d193-4cc9-b351-99906754a03b,1992-07-05,2021-09-19T20:34:52.838472+00:00,0.2318840579710145,,,,,,da2e4f4b6a582f56bb0eec0eeea022e3b0c8857e,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 43.72437988620348, 'lon': -121.81533916547419}",,true,true,saxifragaceae,,,,id,,,plantae,,,,,,,"deschutes national forest, bend district. upper browns creek southwest of browns mountain.",,,,e788ef6f-f2b9-455b-870b-d7172e90fb25,,,1338.0,,67c40ea5-4fec-4d46-a604-a123ce5ab5f8,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\67c40ea5-4fec-4d46-a604-a123ce5ab5f8', 'e8d2fbf3-2499-4e68-a8be-3530f8e68e63', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\913833']",7402,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera chlorantha,chlorantha,187,oregon,3032680,accepted,species,,5747d2b6-7be6-46f7-b3d6-e7c68ff07f1e,,,,,Heuchera chlorantha,-121.81533916547419,43.72437988620348
,,preservedspecimen,,heuchera chlorantha,8817,magnoliopsida,vascular,,,c. v. piper,,,north america,15750.0,united states,usa,king,7ddf754f-d193-4cc9-b351-99906754a03b,1889-05-26,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,252ef7db41a484b74e017c9ec99da018e2ea3b39,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 47.613617, 'lon': -122.310098}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,seattle.,,,,,,,,,49f35821-741e-4015-aa12-8f309fc8a646,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\49f35821-741e-4015-aa12-8f309fc8a646', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82323', 'f93845c2-8621-45a5-a35e-6bb309e6bed6']",91,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera chlorantha,chlorantha,146,washington,3032680,accepted,species,,af265358-3a45-4924-8f0a-53887181e0e2,,,,,Heuchera chlorantha,-122.310098,47.613617
,,preservedspecimen,,heuchera chlorantha,127663,magnoliopsida,vascular,,,george neville jones,,,north america,10000.0,united states,usa,lewis,7ddf754f-d193-4cc9-b351-99906754a03b,1934-06-20,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,fcd9564982ec4eaaa2a69e47006af80db89bdb26,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 46.60667, 'lon': -121.66944}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,packwood.,,,,,,,,,30987987-e197-40a2-8f41-becb3cfb8390,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82327', 'e94b3f7e-3af9-457d-b69f-132b2c631395', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\30987987-e197-40a2-8f41-becb3cfb8390']",10194,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera chlorantha,chlorantha,171,washington,3032680,accepted,species,,14b43657-ec39-4fed-8d0f-8d0b54e21745,,,,,Heuchera chlorantha,-121.66944,46.60667
,,preservedspecimen,,heuchera chlorantha,3364,magnoliopsida,vascular,,,stephanie h. wagner,,,north america,52.0,united states,usa,washington,7ddf754f-d193-4cc9-b351-99906754a03b,1976-07-06,2021-09-19T20:35:12.610897+00:00,0.21739130434782608,,,,,,f298c438cf36b9e940b7ba9aaa5a9c0e14d56515,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.535603, 'lon': -122.82985}",,true,true,saxifragaceae,,,,hpsu,,,plantae,,,,,,,"beaverton, vacant lot west of 14730 nw oakhills ['oakville'] drive, west of stream.",,,,b395325a-bdb7-4586-8aba-1b83eee5a2f6,,,,,62b41713-4096-416b-9ca8-7bd4e2e2df40,saxifragales,tracheophyta,"['eba8a322-9e28-4080-b9a2-1a6706230c24', 'bf9066a2-2c5f-4cf2-821a-1a68b4df5b1b\\\\2319337', 'bf9066a2-2c5f-4cf2-821a-1a68b4df5b1b\\\\62b41713-4096-416b-9ca8-7bd4e2e2df40']",sw20,bf9066a2-2c5f-4cf2-821a-1a68b4df5b1b,heuchera chlorantha,chlorantha,188,oregon,3032680,accepted,species,,f95ab753-9e3a-4e17-ae75-be4fa624276a,,,,,Heuchera chlorantha,-122.82985,45.535603
,,preservedspecimen,,heuchera chlorantha,896,magnoliopsida,vascular,,,irene creso,,,north america,2427.0,canada,can,,7ddf754f-d193-4cc9-b351-99906754a03b,1961-05-29,2021-09-19T20:35:29.669030+00:00,0.21739130434782608,,,,,,dff117fa513815a1ae7144bae15178e5c829a1dc,saxifragaceae,,"['dwc_phylum_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_taxonomicstatus_added', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 51.824799, 'lon': -121.057053}",,true,true,saxifragaceae,,,,psm,,,plantae,,,,,,,ruth lake.,,,,be49c79a-164d-472b-a995-0d0145f1c787,,,,,2ed1446d-ac71-47f2-9529-13e550261084,saxifragales,tracheophyta,"['feff3fc5-12f7-4c35-ba9a-71c24bb8611b', '662b1aa5-9c19-4eb9-9766-1da78a117456\\\\2ed1446d-ac71-47f2-9529-13e550261084', '662b1aa5-9c19-4eb9-9766-1da78a117456\\\\2153462']",s.n.,662b1aa5-9c19-4eb9-9766-1da78a117456,heuchera chlorantha,chlorantha,149,british columbia,3032680,accepted,species,,286b67a6-3b8d-4b36-97c8-fbb189d62d35,,,,,Heuchera chlorantha,-121.057053,51.824799
,,preservedspecimen,,heuchera chlorantha,8942jwt,magnoliopsida,vascular,,,j. william thompson,,,north america,1600.0,united states,usa,hood river,7ddf754f-d193-4cc9-b351-99906754a03b,1927-08-06,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,0780ffe9430514ef2bcc68c58c59890e072a2bbe,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.422735, 'lon': -121.581331}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,near the intersection of the cloud cap inn road with the main highway.,,,,,,,,,67e96a29-0d01-4ee8-b192-7e9d357f69fb,saxifragales,tracheophyta,"['a59e6e84-84e1-46c4-90ce-34f337e8ccbb', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\67e96a29-0d01-4ee8-b192-7e9d357f69fb', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82303']",3533,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera chlorantha,chlorantha,218,oregon,3032680,accepted,species,,a4b5eac8-cd31-4e88-acf3-b263e601ed7a,,,,,Heuchera chlorantha,-121.581331,45.422735
,,preservedspecimen,,heuchera chlorantha,8818,magnoliopsida,vascular,,,c. v. piper,,,north america,15750.0,united states,usa,king,7ddf754f-d193-4cc9-b351-99906754a03b,,2021-09-19T20:33:48.370392+00:00,0.17391304347826086,,,,,,490eccac7f89fe5b5e7acd2929a28e505d0c0e43,saxifragaceae,,"['dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_continent_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 47.613617, 'lon': -122.310098}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,seattle.,,,,,,,,,a7eb782f-5aba-4997-8bb3-ecbd994c9b9b,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82724', '271fb953-a755-4630-a150-c8b4ab0629c7', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\a7eb782f-5aba-4997-8bb3-ecbd994c9b9b']",91,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera chlorantha,chlorantha,,washington,3032680,accepted,species,,b85a89e1-b6b4-4df7-835e-0a53a4b750a2,,,,,Heuchera chlorantha,-122.310098,47.613617
,,preservedspecimen,,heuchera chlorantha,117761,magnoliopsida,vascular,,,wilhelm n. suksdorf,,,north america,10000.0,united states,usa,klickitat,7ddf754f-d193-4cc9-b351-99906754a03b,1905-06-27,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,310d2efc6d9e886b80b06725a59ee5530eb5b3b0,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.715, 'lon': -121.46333}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,bingen mountain. bingen (hawk prairie).,,,,,,,,,ac669865-41f7-4031-b592-cc1e62e451a0,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82314', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\ac669865-41f7-4031-b592-cc1e62e451a0', '5443ed40-11e9-4298-b922-848b32de7efb']",5145,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera chlorantha,chlorantha,178,washington,3032680,accepted,species,,967ac36f-dce3-4e29-a80a-2b899b9e5f9f,"july 16, 1907 and june 27, 1905",,,,Heuchera chlorantha,-121.46333,45.715
,,preservedspecimen,,heuchera chlorantha,2893jwt,magnoliopsida,vascular,,,roy l. bradley,,,north america,80000.0,united states,usa,clallam,7ddf754f-d193-4cc9-b351-99906754a03b,1936-06-26,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,15f827cab36063b6e143146ad6baab03c5a39b54,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.03914, 'lon': -123.79104}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,near louella guard station.,,,,,,,442.0,,ad6bedf2-900f-4834-95b0-10d79616d15e,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82723', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\ad6bedf2-900f-4834-95b0-10d79616d15e', 'f8fef93a-c105-47ff-bad5-222a8aeff05b']",85a,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera chlorantha,chlorantha,178,washington,3032680,accepted,species,,9574bba1-1d94-4d47-a9e6-871fee28e31c,,,,,Heuchera chlorantha,-123.79104,48.03914
,,preservedspecimen,,heuchera chlorantha,262599,magnoliopsida,vascular,,,wilhelm n. suksdorf,,,north america,8021.0,united states,usa,klickitat,7ddf754f-d193-4cc9-b351-99906754a03b,1886-07-19,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,30a4ad35e119beb2aa83404e24435979144f9a95,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.977122, 'lon': -121.306515}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,falcon valley.,,,,,,,,,1cc1931e-4ca8-41fa-9cc1-b77e2401d9fe,saxifragales,tracheophyta,"['415effaa-df7e-47cf-b204-4b3c272286ef', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\1cc1931e-4ca8-41fa-9cc1-b77e2401d9fe', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82300']",s.n.,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera chlorantha,chlorantha,200,washington,3032680,accepted,species,,691dbdbf-6850-46e4-990b-764e52fe597d,,,,,Heuchera chlorantha,-121.306515,45.977122
