species_name,x,y
diplomenziesii,-124.4208333,42.67083333
diplomenziesii,-124.3875,40.47916667
diplomenziesii,-124.3291667,43.32916667
diplomenziesii,-124.2791667,42.05416667
diplomenziesii,-124.2708333,42.05416667
diplomenziesii,-124.2625,40.5375
diplomenziesii,-124.2625,42.05416667
diplomenziesii,-124.2041667,41.94583333
diplomenziesii,-124.1958333,42.12083333
diplomenziesii,-124.1875,42.10416667
diplomenziesii,-124.1458333,42.02916667
diplomenziesii,-124.1375,43.0625
diplomenziesii,-124.1208333,41.87083333
diplomenziesii,-124.1208333,42.7125
diplomenziesii,-124.1041667,42.69583333
diplomenziesii,-124.0791667,40.8625
diplomenziesii,-124.0791667,40.87916667
diplomenziesii,-124.0791667,41.79583333
diplomenziesii,-124.0791667,43.0375
diplomenziesii,-124.0375,41.79583333
diplomenziesii,-124.0208333,41.40416667
diplomenziesii,-124.0041667,42.82916667
diplomenziesii,-123.9791667,42.14583333
diplomenziesii,-123.9291667,43.34583333
diplomenziesii,-123.9291667,43.4875
diplomenziesii,-123.9208333,43.07916667
diplomenziesii,-123.8791667,43.47083333
diplomenziesii,-123.8041667,39.32916667
diplomenziesii,-123.7958333,39.30416667
diplomenziesii,-123.7708333,39.32916667
diplomenziesii,-123.6958333,40.82083333
diplomenziesii,-123.6958333,41.5875
diplomenziesii,-123.6875,40.82916667
diplomenziesii,-123.6375,42.55416667
diplomenziesii,-123.5875,41.67083333
diplomenziesii,-123.5875,42.02916667
diplomenziesii,-123.5791667,40.8125
diplomenziesii,-123.5708333,41.67916667
diplomenziesii,-123.5541667,41.3875
diplomenziesii,-123.5458333,43.47916667
diplomenziesii,-123.5291667,41.92083333
diplomenziesii,-123.4958333,41.07916667
diplomenziesii,-123.4708333,41.07083333
diplomenziesii,-123.4625,43.42916667
diplomenziesii,-123.4541667,42.1375
diplomenziesii,-123.4291667,42.1125
diplomenziesii,-123.4208333,41.90416667
diplomenziesii,-123.4125,42.1125
diplomenziesii,-123.4041667,42.15416667
diplomenziesii,-123.3958333,41.3375
diplomenziesii,-123.3625,40.37083333
diplomenziesii,-123.3375,43.22083333
diplomenziesii,-123.2708333,40.37916667
diplomenziesii,-123.2375,40.24583333
diplomenziesii,-123.1541667,42.4375
diplomenziesii,-123.1458333,40.40416667
diplomenziesii,-123.1458333,41.44583333
diplomenziesii,-123.1208333,41.94583333
diplomenziesii,-123.0541667,41.0875
diplomenziesii,-122.9375,40.52083333
diplomenziesii,-122.9125,40.50416667
diplomenziesii,-122.9125,43.29583333
diplomenziesii,-122.9041667,40.5125
diplomenziesii,-122.8958333,43.32916667
diplomenziesii,-122.8375,39.7125
diplomenziesii,-122.7791667,41.02916667
diplomenziesii,-122.6625,43.57916667
diplomenziesii,-122.6458333,43.5875
diplomenziesii,-122.6291667,43.37083333
diplomenziesii,-122.5625,43.2875
diplomenziesii,-122.5541667,43.7875
diplomenziesii,-122.4291667,43.8125
diplomenziesii,-124.1959,42.11875
diplomenziesii,-124.00815,42.825633
diplomenziesii,-123.860467,44.397867
diplomenziesii,-123.691833,40.824417
diplomenziesii,-123.56815,41.67995
diplomenziesii,-123.409983,42.111683
diplomenziesii,-123.3952,41.335383
diplomenziesii,-123.363717,40.374067
diplomenziesii,-122.940733,40.523617
diplomenziesii,-122.908983,43.29705
diplomenziesii,-122.5648,43.290883
diplomenziesii,-122.549817,43.786433
diplomenziesii,-122.424967,43.8106
