species_name,x,y
Mitella_caulescens,-121.16667,49.13333
Mitella_caulescens,-123.7868,44.0018
Mitella_caulescens,-123.4159,44.5362
Mitella_caulescens,-123.4047,42.0958
Mitella_caulescens,-115.7,47.98333
Mitella_caulescens,-122.3749,44.12
Mitella_caulescens,-122.0111,44.3009
Mitella_caulescens,-122.33083,47.60639
Mitella_caulescens,-121.08848,48.6829
Mitella_caulescens,-115.92694,47.53207
Mitella_caulescens,-123.53333,44.51666
Mitella_caulescens,-122.7164,45.5353
Mitella_caulescens,-123.3963,42.1039
Mitella_caulescens,-122.0605,44.6769
Mitella_caulescens,-123.46572,41.08544
Mitella_caulescens,-123.4574,39.0711
Mitella_caulescens,-124.1084,44.1914
Mitella_caulescens,-123.3914,45.4405
Mitella_caulescens,-123.5778,44.1708
Mitella_caulescens,-122.9418237,40.20818874
Mitella_caulescens,-116.70493,47.67505
Mitella_caulescens,-121.50778,48.06611
Mitella_caulescens,-115.50098,47.1766
Mitella_caulescens,-121.9888,45.5996
Mitella_caulescens,-123.929,43.4822
Mitella_caulescens,-123.5778,44.1708
Mitella_caulescens,-123.755,39.2764
Mitella_caulescens,-123.4937,41.061
Mitella_caulescens,-122.1112,44.1209
Mitella_caulescens,-123.4574,39.0711
Mitella_caulescens,-123.755,39.2764
Mitella_caulescens,-123.462,44.1219
Mitella_caulescens,-116.91528,46.81111
Mitella_caulescens,-112.49151,45.69558
Mitella_caulescens,-123.8045,40.8188
Mitella_caulescens,-123.6737554,39.17393155
Mitella_caulescens,-123.5372508,41.08796884
Mitella_caulescens,-122.2666,42.9028
Mitella_caulescens,-123.6539,44.8383
Mitella_caulescens,-123.445,44.8372
Mitella_caulescens,-123.445,44.8372
Mitella_caulescens,-123.7500186,39.27699888
Mitella_caulescens,-124.4,48.95
Mitella_caulescens,-123.487,44.4688
Mitella_caulescens,-123.4118,45.2954
Mitella_caulescens,-122.817,43.8596
Mitella_caulescens,-122.7164,45.5353
Mitella_caulescens,-123.6733494,40.79033243
Mitella_caulescens,-122.0609,43.9216
Mitella_caulescens,-122.4167,45.5003
Mitella_caulescens,-123.3542,44.3639
Mitella_caulescens,-122.915,47.56528
Mitella_caulescens,-121.60028,48.28451
Mitella_caulescens,-123.68259,47.16614
Mitella_caulescens,-122.2309,44.2045
Mitella_caulescens,-123.4574,39.0711
Mitella_caulescens,-123.48442,40.95656
Mitella_caulescens,-123.5292,41.9907
Mitella_caulescens,-123.82,40.8199
Mitella_caulescens,-123.1375,44.0719
Mitella_caulescens,-124.4,48.95
Mitella_caulescens,-122.93694,41.22444
Mitella_caulescens,-115.83972,47.69333
Mitella_caulescens,-121.16667,49.13333
Mitella_caulescens,-120.0833,44.1667
Mitella_caulescens,-122.675,45.5236
Mitella_caulescens,-122.5692,45.4078
Mitella_caulescens,-123.2798,44.7214
Mitella_caulescens,-123.9915,40.43
Mitella_caulescens,-124.116,41.6543
Mitella_caulescens,-123.0011432,41.39836881
Mitella_caulescens,-123.42944,48.11833
Mitella_caulescens,-117.86667,46.08333
Mitella_caulescens,-122.6066,44.1388
Mitella_caulescens,-122.7164,45.5353
Mitella_caulescens,-123.8332,44.0308
Mitella_caulescens,-122.7804,42.1785
Mitella_caulescens,-122.9407,45.0258
Mitella_caulescens,-123.9218,40.8995
Mitella_caulescens,-123.81278,40.82
Mitella_caulescens,-123.315,44.6438
Mitella_caulescens,-117.83639,48.35611
Mitella_caulescens,-122.33083,47.60639
Mitella_caulescens,-123.7421,39.2707
Mitella_caulescens,-123.7556,39.2764
Mitella_caulescens,-123.8413,44.0212
Mitella_caulescens,-122.6894,42.0907
Mitella_caulescens,-123.0583,43.7978
Mitella_caulescens,-121.9581,44.7786
Mitella_caulescens,-121.88083,48.92694
Mitella_caulescens,-123.8045,40.8188
Mitella_caulescens,-123.5435,41.089
Mitella_caulescens,-123.42993,48.03734
Mitella_caulescens,-123.13875,47.32155
Mitella_caulescens,-122.3133,42.8456
Mitella_caulescens,-123.4047,42.0958
Mitella_caulescens,-123.755,39.2764
Mitella_caulescens,-124.0288,41.5162
Mitella_caulescens,-122.93861,40.20139
Mitella_caulescens,-122.675,45.5236
Mitella_caulescens,-122.3624,44.0193
Mitella_caulescens,-122.2696,44.1854
Mitella_caulescens,-123.55,44.5044
Mitella_caulescens,-117.425,47.65889
Mitella_caulescens,-115.7,47.98333
Mitella_caulescens,-123.9369,40.6974
Mitella_caulescens,-123.8525,39.8387
Mitella_caulescens,-123.4601,41.0666
Mitella_caulescens,-123.2883,44.2158
Mitella_caulescens,-123.095,43.8177
Mitella_caulescens,-122.651,44.867
Mitella_caulescens,-122.60935,47.64592
Mitella_caulescens,-121.5844,46.90998
Mitella_caulescens,-123.9165,40.9141
Mitella_caulescens,-123.1946,41.634
Mitella_caulescens,-123.7539587,39.27679885
Mitella_caulescens,-123.3921,45.2381
Mitella_caulescens,-122.8192,45.7223
Mitella_caulescens,-123.58146,48.06005
Mitella_caulescens,-123.9929,40.8495
Mitella_caulescens,-123.6726,40.79072
Mitella_caulescens,-122.8294,43.9429
Mitella_caulescens,-121.9124,42.8025
Mitella_caulescens,-121.6166,45.4195
Mitella_caulescens,-122.675,45.5236
