associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera glomerulata,97662,magnoliopsida,,17a53c97-835b-409e-8a9a-c9a7307a4965,,g. rink; l. stevens,,,north america,,united states,usa,greenlee county,7ddf754f-d193-4cc9-b351-99906754a03b,2010-06-01,2016-03-03T13:41:21.472103+00:00,0.21739130434782608,,,,,,32270a66ee4c64e566f694f317abf8a8d8bbe1a1,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'gbif_reference_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'dwc_phylum_replaced', 'dwc_country_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.562495, 'lon': -109.122501}",,false,false,,,,,asc,,,plantae,,,,,,,vicinity of maple spring,,,,,,,1995.0,,48ff6990-51cd-40f6-b658-26a4543d479b,saxifragales,tracheophyta,"['urn:uuid:48ff6990-51cd-40f6-b658-26a4543d479b', 'b531ea59-025d-4c29-9d23-99ae75bcd55f\\\\3004710', 'b531ea59-025d-4c29-9d23-99ae75bcd55f\\\\48ff6990-51cd-40f6-b658-26a4543d479b']",9449,b531ea59-025d-4c29-9d23-99ae75bcd55f,heuchera glomerulata,glomerulata,152,arizona,3032687,accepted,species,,a83e44d3-35a6-41ca-874f-b03c6d7162a6,,,,,Heuchera glomerulata,-109.122501,33.562495
,,preservedspecimen,,heuchera glomerulata,asu0053296,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,"elinor lehto; pinkava, keil, clark",,,north america,200.0,united states,usa,graham county,7ddf754f-d193-4cc9-b351-99906754a03b,1968-05-18,2021-12-17T13:53:42.788129+00:00,0.2608695652173913,,,,,,576244605ba7c70c734fb921ca32a45b765f081b,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.65, 'lon': -109.82}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"pinaleno mountains, wet canyon campground",,,2000.0,91b43169-6fda-43fe-a4af-80900fc2f3a9,,,2000.0,,3077c25c-743a-4baa-8449-ad075bfc22c5,saxifragales,tracheophyta,"['urn:uuid:3077c25c-743a-4baa-8449-ad075bfc22c5', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:3077c25c-743a-4baa-8449-ad075bfc22c5', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684479', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\3077c25c-743a-4baa-8449-ad075bfc22c5']",13006,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,139,arizona,3032687,accepted,species,,582abf1f-6bb7-4442-ab40-deb87fa29bfe,,,,,Heuchera glomerulata,-109.82,32.65
,,preservedspecimen,,heuchera glomerulata,asu0053326,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,s. forbes,,,north america,,united states,usa,gila,7ddf754f-d193-4cc9-b351-99906754a03b,1979-06-03,2021-12-17T13:53:42.788129+00:00,0.2463768115942029,,,,,,f6c717fb8cbabd83de3796ab3e51d63a0b798350,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'dwc_country_replaced', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.2822, 'lon': -110.821}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"pinal mountains; south of the town of globe, along forest service road 651.",,,,785183f3-432c-4d32-9878-33402126bfb2,,,2042.0,,cf7bbeb9-5405-4e1f-8d4c-7a032b636611,saxifragales,tracheophyta,"['urn:uuid:cf7bbeb9-5405-4e1f-8d4c-7a032b636611', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:cf7bbeb9-5405-4e1f-8d4c-7a032b636611', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684492', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\cf7bbeb9-5405-4e1f-8d4c-7a032b636611']",1053,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,154,arizona,3032687,accepted,species,,2fb9d8a9-779c-45e2-8f7e-8a7180b4df27,,,,,Heuchera glomerulata,-110.821,33.2822
,,preservedspecimen,,heuchera glomerulata,utc00040743,magnoliopsida,utc,06bf658d-f555-4c9c-ab93-fc2d7db7086e,,bassett maguire,,,north america,507.0,united states,usa,graham,7ddf754f-d193-4cc9-b351-99906754a03b,1935-04-23,2021-11-03T12:02:47.520051+00:00,0.2753623188405797,,,,,,36018f8fca8242bae45accd6db9a0470064e3030,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.75278, 'lon': -109.8325}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,utah state university,,,plantae,,,,,,,"pinaleno (graham) mts.; frye canyon, above reservoir",,,,,,,,,usu:utc:40743,saxifragales,tracheophyta,"['urn:uuid:9f92aee3-02c0-4e01-86d7-22af98ca6a14', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\usu:utc:40743', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\186633', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\urn:uuid:9f92aee3-02c0-4e01-86d7-22af98ca6a14', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\9f92aee3-02c0-4e01-86d7-22af98ca6a14']",10968,215eeaf0-0a88-409e-a75d-aec98b7c41eb,heuchera glomerulata,glomerulata,113,arizona,3032687,accepted,species,,ec2c4ea9-4e29-45df-83c1-9b63f5311aeb,,,,,Heuchera glomerulata,-109.8325,32.75278
,,preservedspecimen,,heuchera glomerulata,asu0053325,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,s. forbes,,,north america,,united states,usa,gila,7ddf754f-d193-4cc9-b351-99906754a03b,1979-06-03,2021-12-17T13:53:42.788129+00:00,0.2463768115942029,,,,,,bcb813a773fb722c61186bdcc64b5affcf636bbf,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'dwc_country_replaced', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.2822, 'lon': -110.821}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"pinal mountains; south of the town of globe, along forest service road 651.",,,,ac09d7cb-7e0e-4089-8f08-d99ffb83446a,,,2042.0,,04c7b778-31bb-4bbd-99ca-83a4832b6196,saxifragales,tracheophyta,"['urn:uuid:04c7b778-31bb-4bbd-99ca-83a4832b6196', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684488', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:04c7b778-31bb-4bbd-99ca-83a4832b6196', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\04c7b778-31bb-4bbd-99ca-83a4832b6196']",1053,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,154,arizona,3032687,accepted,species,,66f08913-a613-4505-b1a3-3b524ba3f68f,,,,,Heuchera glomerulata,-110.821,33.2822
,,preservedspecimen,,heuchera glomerulata,utc00040740,magnoliopsida,utc,06bf658d-f555-4c9c-ab93-fc2d7db7086e,,bassett maguire,,,north america,1807.0,united states,usa,greenlee,7ddf754f-d193-4cc9-b351-99906754a03b,1935-06-24,2021-11-03T12:02:47.520051+00:00,0.2898550724637681,,,,,,3af549e606c7b69e2cfe58ecc3600ad01d0a57e3,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.43972, 'lon': -109.37028}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,utah state university,,,plantae,,,,,,,"gila national forest; crook nf; mt. rose, 42 mi n of clifton [no reference to crokk nf on map]",,,,c2e0daaa-3de6-4632-9f97-b6476cc37ed2,,,,,usu:utc:40740,saxifragales,tracheophyta,"['urn:uuid:41993e0c-6ba0-4a16-a4a6-bfc7a4faf7da', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\usu:utc:40740', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\186630', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\urn:uuid:41993e0c-6ba0-4a16-a4a6-bfc7a4faf7da', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\41993e0c-6ba0-4a16-a4a6-bfc7a4faf7da']",12153,215eeaf0-0a88-409e-a75d-aec98b7c41eb,heuchera glomerulata,glomerulata,175,arizona,3032687,accepted,species,,9a751e12-6a0c-4e79-b0fa-d2345949f327,24 june 1935,,,,Heuchera glomerulata,-109.37028,33.43972
,,preservedspecimen,,heuchera glomerulata,asu0053294,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,j. jeremy buegge,,,north america,,united states,usa,graham county,7ddf754f-d193-4cc9-b351-99906754a03b,1999-05-02,2022-02-07T14:10:14.681634+00:00,0.2463768115942029,,,,,,52dfd1d1dcf7f167263425af962465ffae603d06,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.9836, 'lon': -110.267}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,coronado national forest; cobre grande peak area; near soda water spring.,,,,960794ad-f06b-4ca9-bfd2-e1373e8ea9c9,,,1798.0,,e2583275-4ff2-49ab-a633-93d28ffc7bee,saxifragales,tracheophyta,"['urn:uuid:e2583275-4ff2-49ab-a633-93d28ffc7bee', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:e2583275-4ff2-49ab-a633-93d28ffc7bee', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684478', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\e2583275-4ff2-49ab-a633-93d28ffc7bee']",787,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,122,arizona,3032687,accepted,species,,a40194c8-aa06-48c0-8bbe-4bc89782b5bf,,,,,Heuchera glomerulata,-110.267,32.9836
,,preservedspecimen,,heuchera glomerulata,asu0053324,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,marc a. baker; ken kertell,,,north america,,united states,usa,gila,7ddf754f-d193-4cc9-b351-99906754a03b,1994-05-04,2021-12-17T13:53:42.788129+00:00,0.2463768115942029,,,,,,2342d3f8b3bc7033b43e28f3ad6f8c76ae5fd7cd,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'gbif_reference_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.397883, 'lon': -110.927953}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"sycamore spring, needle canyon, ca. 4.5k west of miami, az; trs: t01n r14e",,,,38a84558-02e5-4006-8fa7-922cba4c7b80,,,1295.0,,cab5e761-1154-4873-8230-0a63e95b268e,saxifragales,tracheophyta,"['urn:uuid:cab5e761-1154-4873-8230-0a63e95b268e', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:cab5e761-1154-4873-8230-0a63e95b268e', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684497', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\cab5e761-1154-4873-8230-0a63e95b268e']",11415,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,124,arizona,3032687,accepted,species,,b597572f-4eec-416b-a1cc-92e4523267c1,,,,,Heuchera glomerulata,-110.927953,33.397883
,,preservedspecimen,,heuchera glomerulata,b.34349,magnoliopsida,,5418318a-215b-43a2-bbd5-6376f28033fe,,g. rink; l. stevens,,,north america,,united states,usa,greenlee county,7ddf754f-d193-4cc9-b351-99906754a03b,2010-06-01,2021-12-17T13:51:08.788811+00:00,0.2318840579710145,,,,,,d72a23f3e8985b68aede0d60b188579300d5f8ff,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.562495, 'lon': -109.122501}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,mna,,,plantae,,,,,,,vicinity of maple spring,,,,,,,1995.0,,c06c22ae-1a29-4cf4-8f9b-c0edc07fe319,saxifragales,tracheophyta,"['urn:uuid:c06c22ae-1a29-4cf4-8f9b-c0edc07fe319', 'de5203b1-5a44-4010-948c-b7d33f46397a\\\\c06c22ae-1a29-4cf4-8f9b-c0edc07fe319', 'de5203b1-5a44-4010-948c-b7d33f46397a\\\\3439919']",9449,de5203b1-5a44-4010-948c-b7d33f46397a,heuchera glomerulata,glomerulata,152,arizona,3032687,accepted,species,,d718d347-e140-4417-8cc0-182e78709851,,,,,Heuchera glomerulata,-109.122501,33.562495
,,preservedspecimen,,heuchera glomerulata,asu0053312,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,"t. reeves; b. murray, f. jandrey",,,north america,,united states,usa,cochise county,7ddf754f-d193-4cc9-b351-99906754a03b,1975-06-13,2021-12-17T13:53:42.788129+00:00,0.2463768115942029,,,,,,588dcbd2d4f4d4be46bdad4d0d65a0e7151d2239,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.0044, 'lon': -109.356}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"near chiricahua national monument, trail to woods canyon",,,,86d1616d-258a-4835-a3dd-04a64f690538,,,1829.0,,f5804796-4db0-4ab9-a959-a024beab33dc,saxifragales,tracheophyta,"['urn:uuid:f5804796-4db0-4ab9-a959-a024beab33dc', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:f5804796-4db0-4ab9-a959-a024beab33dc', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684481', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\f5804796-4db0-4ab9-a959-a024beab33dc']",r-2987,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,164,arizona,3032687,accepted,species,,01aa488a-aa04-4be9-a76e-604db8edeba9,,,,,Heuchera glomerulata,-109.356,32.0044
,,preservedspecimen,,heuchera glomerulata,asu0053295,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,"elinor lehto; pinkava, keil, clark",,,north america,,united states,usa,graham county,7ddf754f-d193-4cc9-b351-99906754a03b,1968-05-18,2021-12-17T13:53:42.788129+00:00,0.2318840579710145,,,,,,b5a7c780da41f27f9867c28c4d2c9889ee47c72b,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.6486, 'lon': -109.819}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"pinaleno mountains, arcadia campground",,,,fdd6d0c7-077e-4f9a-b160-36ab4fe679a7;05033c53-7bc5-46a5-b90c-e21364192c49;e93f6756-1ff2-4543-af0a-ab3c7b063e1b,,,,,88c145b1-1ac5-435d-b81a-a363885e3d13,saxifragales,tracheophyta,"['urn:uuid:88c145b1-1ac5-435d-b81a-a363885e3d13', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:88c145b1-1ac5-435d-b81a-a363885e3d13', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684480', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\88c145b1-1ac5-435d-b81a-a363885e3d13']",12938,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,139,arizona,3032687,accepted,species,,9c9e2399-4fa0-49fa-8fa7-a82b69ee2f86,,,,,Heuchera glomerulata,-109.819,32.6486
,,preservedspecimen,,heuchera glomerulata,utep:herb:56510,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,536.0,united states,usa,hidalgo county,7ddf754f-d193-4cc9-b351-99906754a03b,1997-05-03,2022-04-27T13:01:15.032991+00:00,0.37681159420289856,,,,,,db4ca3c7e888dd9174a69f6f44ff42329b2ba374,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 31.846221, 'lon': -108.452284}",,true,true,"plantae, tracheophyta, magnoliopsida, rosales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,"hachita peak, upper n side",,,1798.0,a991c9e5-b2cb-4b91-8980-58bc75e6140c,,,1798.0,,http://arctos.database.museum/guid/utep:herb:56510?seid=5201023,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:56510?seid=5201023'],26423,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera glomerulata,glomerulata,123,new mexico,3032687,accepted,species,voucher of <a href='http://arctos.database.museum/name/heuchera glomerulata'>heuchera glomerulata</a> page 499 in <a href='http://arctos.database.museum/publication/10008996'>folk and alexander 2015</a>,d1ce64ce-bd9a-4afb-8b7c-b73696bb3553,03 may 1997,"upper north side hachita peak (t28s, r16w, sec 26, n 1/2) 5900 ft",,,Heuchera glomerulata,-108.452284,31.846221
,,preservedspecimen,,heuchera glomerulata,asu0053311,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,steve bingham,,,north america,,united states,usa,graham county,7ddf754f-d193-4cc9-b351-99906754a03b,1970-04-25,2021-12-17T13:53:42.788129+00:00,0.2318840579710145,,,,,,6dc31f8187d1b9a53c694e58750dfb1f70d63d82,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.1802, 'lon': -109.861}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,asu,,,plantae,,,,,,,"santa theresa mountains, tule springs",,,,e624fe1e-e20b-407e-9783-cf9ab3eeb410,,,,,966e6ac1-029a-4ccd-80ba-03d1d2c9f0e1,saxifragales,tracheophyta,"['urn:uuid:966e6ac1-029a-4ccd-80ba-03d1d2c9f0e1', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:966e6ac1-029a-4ccd-80ba-03d1d2c9f0e1', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\684477', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\966e6ac1-029a-4ccd-80ba-03d1d2c9f0e1']",1733,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera glomerulata,glomerulata,115,arizona,3032687,accepted,species,,fcf0d9a6-cbd6-45b5-9102-8209f05f431b,,,,,Heuchera glomerulata,-109.861,33.1802
