associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera parvifolia,74652,magnoliopsida,,17a53c97-835b-409e-8a9a-c9a7307a4965,,r.r. halse,,,north america,1250.0,united states,usa,apache county,7ddf754f-d193-4cc9-b351-99906754a03b,1971-06-20,2016-03-03T13:41:21.472103+00:00,0.2463768115942029,,,,,,e3ab75cb2c64e8db0a224285d80b8d07f933ee2b,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.2584, 'lon': -109.2528}",,false,false,,,,flavescens,asc,,,plantae,,,,,,,"canyon de chelly national monument, upper canyon del muerto,",,,,,,,2011.0,,aa21d9d0-adb8-442f-a71b-4d5df00d7764,saxifragales,tracheophyta,"['urn:uuid:aa21d9d0-adb8-442f-a71b-4d5df00d7764', 'b531ea59-025d-4c29-9d23-99ae75bcd55f\\\\aa21d9d0-adb8-442f-a71b-4d5df00d7764', 'b531ea59-025d-4c29-9d23-99ae75bcd55f\\\\1043999']",279,b531ea59-025d-4c29-9d23-99ae75bcd55f,heuchera parvifolia var. flavescens,parvifolia,171,arizona,3032666,accepted,species,,4f788963-f957-4575-9f2d-43fad08f47b1,,,,,Heuchera parvifolia flavescens,-109.2528,36.2584
,,preservedspecimen,,heuchera parvifolia,asu0053355,magnoliopsida,plants,a2e32c87-d320-4a01-bafd-a9182ae2e191,,erin manton; charlie brand,,,north america,,united states,usa,apache,7ddf754f-d193-4cc9-b351-99906754a03b,2007-07-15,2022-02-07T14:10:14.681634+00:00,0.2608695652173913,,,,,,91be60a803520d2377057f5910114055497be228,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'dwc_country_replaced', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.9127, 'lon': -109.126}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,asu,,,plantae,,,,,,,"escudilla mountains, terry flat loop, paddy creek",,,,b4d9186e-4ce7-4146-a6f7-4e213ea6354c,,,2916.0,,3433d882-7e34-43e0-b73b-6903f1ae1c51,saxifragales,tracheophyta,"['urn:uuid:3433d882-7e34-43e0-b73b-6903f1ae1c51', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\776283', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\urn:uuid:3433d882-7e34-43e0-b73b-6903f1ae1c51', '40250f4d-7aa6-4fcc-ac38-2868fa4846bd\\\\3433d882-7e34-43e0-b73b-6903f1ae1c51']",132,40250f4d-7aa6-4fcc-ac38-2868fa4846bd,heuchera parvifolia var. flavescens,parvifolia,196,arizona,3032666,accepted,species,,506f323d-74df-41b1-9802-a7b273261c9c,,,,,Heuchera parvifolia flavescens,-109.126,33.9127
,,preservedspecimen,,heuchera parvifolia,unm0083224,magnoliopsida,vascular plants,274317fa-b413-42b6-bb9a-cfe8f2e54962,,g.a. marley,,,north america,,united states,usa,rio arriba,7ddf754f-d193-4cc9-b351-99906754a03b,1976-07-05,2021-12-17T13:48:08.986377+00:00,0.2898550724637681,,,,,,ab248a2994d3eda5666584d12b138f89f6908a50,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.9620172043, 'lon': -105.6451400549}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,unm,,,plantae,,,,,,,"pecos wilderness, truchas peak.",,,,77542812-937d-4bc6-a169-7cae523da438,,,3810.0,,60e35b52-0ddb-4ac4-893f-f42ec47f7199,saxifragales,tracheophyta,"['urn:uuid:60e35b52-0ddb-4ac4-893f-f42ec47f7199', '96662fa9-ff60-495b-912a-284f3b98ed72\\\\4050829', '96662fa9-ff60-495b-912a-284f3b98ed72\\\\60e35b52-0ddb-4ac4-893f-f42ec47f7199']",64,96662fa9-ff60-495b-912a-284f3b98ed72,heuchera parvifolia var. flavescens,parvifolia,187,new mexico,3032666,accepted,species,,33020cc3-6ee0-47e2-8fc4-c4d34273f0c9,7/5/1976,,,,Heuchera parvifolia flavescens,-105.6451400549,35.9620172043
,,preservedspecimen,,heuchera parvifolia,ncu00196866,magnoliopsida,vascular plants,17f2d0fa-39a6-4465-8055-1d6fc12eeda2,,"cronquist, arthur; holmgren, noel",,,north america,1000.0,united states,usa,san juan,7ddf754f-d193-4cc9-b351-99906754a03b,1961-06-12,2022-04-27T13:54:29.080943+00:00,0.30434782608695654,,,,,,40b4c3689a5d867defdd0f87974d765d240972fa,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.9235, 'lon': -109.7823}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,ncu,,,plantae,,,,,,,"on the north-west side of horse mountain, at the northwest flank of the abajo mts., about 80 miles south of moab.",,,,,,,2591.0,,dd64c33c-0c0c-42c4-a3ff-ccd22ba040f1,saxifragales,tracheophyta,"['4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\dd64c33c-0c0c-42c4-a3ff-ccd22ba040f1', 'urn:uuid:dd64c33c-0c0c-42c4-a3ff-ccd22ba040f1', '4e3043a6-d48a-4a35-b5fb-f67d50cbc158\\\\9737934']",9255,4e3043a6-d48a-4a35-b5fb-f67d50cbc158,heuchera parvifolia var. flavescens,parvifolia,163,utah,3032666,accepted,species,,ad702233-1870-46c3-86ea-82d6d10dd742,,,,,Heuchera parvifolia flavescens,-109.7823,37.9235
,,preservedspecimen,,heuchera parvifolia flavescens,186015,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,a. a. heller,,,north america,11727.29337,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1897-06-11,2021-08-21T02:58:27.774336+00:00,0.2898550724637681,,,,,,dc05116b1a12c85938dc1de5f26c9fa87c921b24,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_originalnameusageid_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'idigbio_isocountrycode_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.687615, 'lon': -105.828361}",,true,true,,,,flavescens,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"colected in santa fe canyon, 9 miles east of santa fe",,,2438.4,4b8383a3-a980-433e-bc85-9701448e35b9,,,2438.4,,f53ab844-df36-41ae-aed9-cc3a0a0d48f2,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\f53ab844-df36-41ae-aed9-cc3a0a0d48f2'],3693,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera flavescens rydb.,parvifolia,162,new mexico,3755043,accepted,variety,holotype,6ae40532-2907-40dc-8a2a-f55451f2c3b3,11 jun 1897,,,,Heuchera parvifolia flavescens,-105.828361,35.687615
,,preservedspecimen,,heuchera parvifolia,unm0083225,magnoliopsida,vascular plants,274317fa-b413-42b6-bb9a-cfe8f2e54962,,g.d. tierney; t.s. foxx,,,north america,6828.0,united states,usa,los alamos,7ddf754f-d193-4cc9-b351-99906754a03b,1979-08-21,2021-12-17T13:48:08.986377+00:00,0.3333333333333333,,,,,,e7b42078fb425de10968bc6e0a64f93986103cbc,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_taxonid_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.88632171, 'lon': -106.2984795}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,unm,,,plantae,,,,,,,pajarito mountain.,,,2895.0,61c00882-58c9-42aa-aef5-dbb2a36cf9ce,,,2743.0,,5bc6e440-1b74-4104-9890-609a6a9069e0,saxifragales,tracheophyta,"['96662fa9-ff60-495b-912a-284f3b98ed72\\\\4008818', '96662fa9-ff60-495b-912a-284f3b98ed72\\\\5bc6e440-1b74-4104-9890-609a6a9069e0', 'urn:uuid:5bc6e440-1b74-4104-9890-609a6a9069e0']",151,96662fa9-ff60-495b-912a-284f3b98ed72,heuchera parvifolia var. flavescens,parvifolia,233,new mexico,3032666,accepted,species,,7ab05f72-f8f2-4fe4-aa4e-bfbbea652d70,8/21/1979,,,,Heuchera parvifolia flavescens,-106.2984795,35.88632171
,,preservedspecimen,,heuchera parvifolia,583427,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,a. cronquist,,,north america,,united states,usa,garfield co.,7ddf754f-d193-4cc9-b351-99906754a03b,1961-06-20,2021-08-21T02:58:27.774336+00:00,0.2753623188405797,,,,,,c7e33cc906097c94aa2f2d9fba83cf50fc6330a7,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.99505, 'lon': -110.7756}",,true,true,,,,flavescens,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"shady slopes in black canyon, on the north side of mt. pennell; henry mountains, 40 miles south of hanksville",,,,f79127c0-0239-4156-98a0-ead00b38249f,,,,,894159a2-12af-4050-b6d2-c85b959a3594,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\894159a2-12af-4050-b6d2-c85b959a3594'],9313,36d35b23-113e-4633-90ec-19d265a3b5f6,"heuchera parvifolia var. flavescens (rydb.) rosend., butters & lakela",parvifolia,171,utah,3032666,accepted,species,,f58ce704-c7e0-4c7d-9cf3-74f5109561ae,20 jun 1961,,,,Heuchera parvifolia flavescens,-110.7756,37.99505
,,preservedspecimen,,heuchera parvifolia,des00009060,magnoliopsida,,edb9860c-c481-4d19-88cc-224a536ebcd4,,l. a. mcgill; j. dahl,,,north america,,united states,usa,apache,7ddf754f-d193-4cc9-b351-99906754a03b,1973-07-19,2021-12-17T13:51:40.593076+00:00,0.2608695652173913,,,,,,cbcb2cf5673dcd01906dc1e3d6432f3abde9ab53,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'dwc_country_replaced', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.9059, 'lon': -109.563}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,des,,,plantae,,,,,,,summit of mount baldy.,,,3540.0,bb351d63-fed3-40b8-9b17-6d17aacabc14,,,3410.0,,dfab53be-0d98-4967-be75-602d2841cb1b,saxifragales,tracheophyta,"['urn:uuid:dfab53be-0d98-4967-be75-602d2841cb1b', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\urn:uuid:dfab53be-0d98-4967-be75-602d2841cb1b', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\3074914', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\dfab53be-0d98-4967-be75-602d2841cb1b']",737,c569e530-7322-40b8-9b66-1e0ed96fefcb,heuchera parvifolia var. flavescens,parvifolia,200,arizona,3032666,accepted,species,,de46b0b5-b9b2-4c6a-b990-3c922baab6c3,,,,,Heuchera parvifolia flavescens,-109.563,33.9059
,,preservedspecimen,,heuchera parvifolia,583428,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,a. cronquist,,,north america,1188.0,united states,usa,garfield co.,7ddf754f-d193-4cc9-b351-99906754a03b,1961-07-06,2022-02-25T04:04:50.417797+00:00,0.3333333333333333,,,,,,074d472038977655c9edc6df3042163afe0c3067,saxifragaceae,,"['dwc_country_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.082570001254, 'lon': -110.798927486}",,true,true,,,,flavescens,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"just south of bull creek pass; henry mountains, about 25 miles south of hanksville",,,3200.4,1af8a193-d6bc-40ce-94e4-948971594a40,,,3200.4,,50defac9-a63f-460a-82d3-3c5f78824593,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\50defac9-a63f-460a-82d3-3c5f78824593'],9444,36d35b23-113e-4633-90ec-19d265a3b5f6,"heuchera parvifolia var. flavescens (rydb.) rosend., butters & lakela",parvifolia,187,utah,3032666,accepted,species,,14ced3b6-ec79-4938-b16d-908993b5d82c,06 jul 1961,,,,Heuchera parvifolia flavescens,-110.798927486,38.082570001254
,,preservedspecimen,,heuchera parvifolia,des00001389,magnoliopsida,,edb9860c-c481-4d19-88cc-224a536ebcd4,,john h. weber,,,north america,4147.0,united states,usa,gila,7ddf754f-d193-4cc9-b351-99906754a03b,1954-04-01,2021-12-17T13:51:40.593076+00:00,0.2608695652173913,,,,,,c59a0170af904e5fabc2149d17d8d44134b7a420,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'dwc_country_replaced', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 34.391557, 'lon': -110.96306}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,des,,,plantae,,,,,,,"valentine creek, 20 mi n young.",,,,3da98e0a-b758-4571-af07-0f05a12485d5,,,1980.0,,52346a86-f925-4771-9aac-82fc8ac515ae,saxifragales,tracheophyta,"['urn:uuid:52346a86-f925-4771-9aac-82fc8ac515ae', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\urn:uuid:52346a86-f925-4771-9aac-82fc8ac515ae', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\3074952', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\52346a86-f925-4771-9aac-82fc8ac515ae']",1389,c569e530-7322-40b8-9b66-1e0ed96fefcb,heuchera parvifolia var. flavescens,parvifolia,91,arizona,3032666,accepted,species,,499e95bf-1dcf-4af2-b2c6-80b6f645963c,,,,,Heuchera parvifolia flavescens,-110.96306,34.391557
,,preservedspecimen,,heuchera parvifolia,des00036274,magnoliopsida,,edb9860c-c481-4d19-88cc-224a536ebcd4,,wendy hodgson; jean cordts,,,north america,969.0,united states,usa,greenlee,7ddf754f-d193-4cc9-b351-99906754a03b,1984-08-12,2021-12-17T13:51:40.593076+00:00,0.2753623188405797,,,,,,6fc1ea79b9b50b859ace9fba3637b277f078b110,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'dwc_country_replaced', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.5614, 'lon': -109.3656}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,des,,,plantae,,,,,,,"blue ridge mountains, blue lookout point, 4.4 miles east of rte 666, off fsr 84.",,,,939178cc-acdf-4fe2-957f-83b667599c36,,,2930.0,,990b68c3-7b93-4a92-9072-3c64b5e1a5ab,saxifragales,tracheophyta,"['urn:uuid:990b68c3-7b93-4a92-9072-3c64b5e1a5ab', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\urn:uuid:990b68c3-7b93-4a92-9072-3c64b5e1a5ab', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\3075120', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\990b68c3-7b93-4a92-9072-3c64b5e1a5ab']",3200,c569e530-7322-40b8-9b66-1e0ed96fefcb,heuchera parvifolia var. flavescens,parvifolia,225,arizona,3032666,accepted,species,,3e3c9ad5-aaf8-4b26-bd4d-969a8432eba5,,,,,Heuchera parvifolia flavescens,-109.3656,33.5614
,,preservedspecimen,,heuchera parvifolia,des00022423,magnoliopsida,,edb9860c-c481-4d19-88cc-224a536ebcd4,,w. hodgson; d. buchanan,,,north america,962.0,united states,usa,apache,7ddf754f-d193-4cc9-b351-99906754a03b,1981-07-10,2021-12-17T13:51:40.593076+00:00,0.2608695652173913,,,,,,b4d8f3c70156bd16deff8c1bfa27f91062f41d21,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'dwc_country_replaced', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.942466, 'lon': -109.533457}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,des,,,plantae,,,,,,,"ca. 2 mi above sheep's crossing, along mount baldy trail, white mountains.",,,,2b79ddcb-c0f1-4c4a-89fb-acb3fb399e34,,,2960.0,,4e47d40c-0d3b-4d4a-95c6-e1eba44c0481,saxifragales,tracheophyta,"['urn:uuid:4e47d40c-0d3b-4d4a-95c6-e1eba44c0481', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\3074974', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\urn:uuid:4e47d40c-0d3b-4d4a-95c6-e1eba44c0481', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\4e47d40c-0d3b-4d4a-95c6-e1eba44c0481']",h-1484,c569e530-7322-40b8-9b66-1e0ed96fefcb,heuchera parvifolia var. flavescens,parvifolia,191,arizona,3032666,accepted,species,,e612f1b4-a203-4f67-bd2e-a77a16159942,,,,,Heuchera parvifolia flavescens,-109.533457,33.942466
,,preservedspecimen,,heuchera parvifolia,583426,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,a. cronquist,,,north america,,united states,usa,san juan co.,7ddf754f-d193-4cc9-b351-99906754a03b,1961-06-12,2021-08-21T02:58:27.774336+00:00,0.2753623188405797,,,,,,b9e31f7301278f6915c51f0c338d63dd8953bdf8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.92352, 'lon': -109.7823}",,true,true,,,,flavescens,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"on the northwest side of horse mountain, at the northwest flank of the abajo mountains, about 80 miles south of moab",,,,ce33a42d-9b12-4b24-a78b-2e7255ab74e5,,,,,347866a2-75f6-4391-a6c7-651af33d6110,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\347866a2-75f6-4391-a6c7-651af33d6110'],9255,36d35b23-113e-4633-90ec-19d265a3b5f6,"heuchera parvifolia var. flavescens (rydb.) rosend., butters & lakela",parvifolia,163,utah,3032666,accepted,species,,9d2a1d52-a01c-48ba-beb0-01cb86dd1271,12 jun 1961,,,,Heuchera parvifolia flavescens,-109.7823,37.92352
,,preservedspecimen,,heuchera parvifolia,unm0083220,magnoliopsida,vascular plants,274317fa-b413-42b6-bb9a-cfe8f2e54962,,d.a. mccallum,,,north america,2500.0,united states,usa,cibola,7ddf754f-d193-4cc9-b351-99906754a03b,1979-06-14,2021-12-17T13:48:08.986377+00:00,0.3188405797101449,,,,,,7b9d0c31a130ba5a2983b7ec75373b6e5f443f6b,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'gbif_reference_added', 'dwc_class_added']",,heuchera,,"{'lat': 35.041426, 'lon': -108.350069}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera|heuchera parvifolia,,,flavescens,unm,,,plantae,,,,,,,el morro national monument. north of inscription rock.,,,,7d972079-6f9d-434f-bd0d-629b0d0aea5f,,,2194.0,,1ccca12e-640c-4633-a5ec-299194260f54,saxifragales,tracheophyta,"['urn:uuid:1ccca12e-640c-4633-a5ec-299194260f54', '96662fa9-ff60-495b-912a-284f3b98ed72\\\\1ccca12e-640c-4633-a5ec-299194260f54', '96662fa9-ff60-495b-912a-284f3b98ed72\\\\4094350']",470,96662fa9-ff60-495b-912a-284f3b98ed72,heuchera parvifolia var. flavescens,parvifolia,165,new mexico,3032666,accepted,species,,445fc3cc-2687-4669-bfcf-935194c66f06,6/14/1979,,,,Heuchera parvifolia flavescens,-108.350069,35.041426
