associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,r.f. anderson,,,north america,1000.0,united states,usa,mono,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,67ec4f075195d8ed8106b68aad1605df4e4ed8b2,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.32833, 'lon': -119.63417}",,false,false,,,,,ucr,,,plantae,,,,,,,"western edge of the county, just east of sonora pass",,,,,,,2744.0,,ucr-bps-20724,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-20724'],s.n.,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera rubescens var. alpicola,,203,california,3032645,accepted,genus,,98607e2d-d438-4ccc-9d92-bb0a0cdd4c9c,,,,,Heuchera rubescens alpicola,-119.63417,38.32833
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,g.d. barbe,,,north america,10000.0,united states,usa,mono,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.18840579710144928,,,,,,533b945abd252ae181169095c4af4493a0759aa2,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.55, 'lon': -118.86667}",,false,false,,,,,ucr,,,plantae,,,,,,,"along trail near summit of ridge between lake genevieve and lake dorothy, john muir wilderness area",,,,,,,3140.0,,ucr-bps-161003,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-161003'],3981,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera rubescens var. alpicola,,237,california,3032645,accepted,genus,,7193d145-471a-4eea-92f8-200865bbd8f0,,,,,Heuchera rubescens alpicola,-118.86667,37.55
,,preservedspecimen,,heuchera rubescens,rsa0063076,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,f. w. peirson,,,north america,2500.0,united states,usa,tulare,7ddf754f-d193-4cc9-b351-99906754a03b,1908-07-16,2022-01-11T02:46:27.708845+00:00,0.3188405797101449,,,,,,475c6a0bb44da2c774dfa858154613aebacd941b,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_continent_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_reference_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 36.529605, 'lon': -118.27197}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera|heuchera rubescens,,,alpicola,rsa,,,plantae,,,,,,,upper rock creek. southern sierra nevada.,,,,,,,,,07631af6-13a6-4731-b0ea-0fc217818e00,saxifragales,tracheophyta,"['urn:uuid:21d34d59-bfb0-4b10-b496-4b1a8cb82a64', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\653344', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\07631af6-13a6-4731-b0ea-0fc217818e00', 'urn:uuid:ff1f1561-1227-471b-87c2-5bafeab29a17', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18552330']",681,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera rubescens var. alpicola,rubescens,198,california,3032671,accepted,species,,326ffc14-c45e-42c7-845b-f5220f30071d,,,,,Heuchera rubescens alpicola,-118.27197,36.529605
,,preservedspecimen,,heuchera rubescens,ucr0048471,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,jim andré; mark a. elvin,,,north america,,united states,usa,san bernardino,7ddf754f-d193-4cc9-b351-99906754a03b,2009-10-06,2022-03-11T04:17:45.652829+00:00,0.30434782608695654,,,,,,5d4d0532e899f61ac1b73898acf280c124ec604d,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 35.25639, 'lon': -115.32639}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera|heuchera rubescens,,,alpicola,ucr,,,plantae,,,,,,,"new york mountains, midway up the fourth of july canyon, main drainage leading to highest peaks",,,,30d2274a-330e-46f9-bf62-b943b1dec074,,,1923.0,,ucr-bps-216317,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-216317', 'urn:uuid:3270ee7f-d2b0-4e9d-b34b-f706bc7b01d5', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1634171']",10993,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera rubescens var. alpicola,rubescens,279,california,3032671,accepted,species,,c4cad1c5-3630-4386-b32f-7c590431d942,2009-10-6,,,,Heuchera rubescens alpicola,-115.32639,35.25639
,,preservedspecimen,,heuchera rubescens,rsa0066248,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,noel wallace; maurice zigmond,,,north america,1600.0,united states,usa,kern,7ddf754f-d193-4cc9-b351-99906754a03b,1938-07-29,2022-01-11T02:46:27.708845+00:00,0.3188405797101449,,,,,,3414e661807afbd323b92ba800a847170625ba9d,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_continent_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_reference_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 35.479946, 'lon': -118.35961}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera|heuchera rubescens,,,alpicola,rsa,,,plantae,,,,,,,"new lookout, piute mountains.",,,,,,,,,0bcfcc33-e27a-43b0-82cf-2d8b7cd9ef03,saxifragales,tracheophyta,"['urn:uuid:3d168275-63c4-4b0b-9232-6cd3a938ea28', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\662423', 'urn:uuid:8ad08dce-c024-4739-92f7-251f051e6497', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\0bcfcc33-e27a-43b0-82cf-2d8b7cd9ef03', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18540165']",443,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera rubescens var. alpicola,rubescens,210,california,3032671,accepted,species,,132ef904-c74b-4257-a634-8592e6612600,,,,,Heuchera rubescens alpicola,-118.35961,35.479946
,,preservedspecimen,,heuchera rubescens,rsa0063075,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,f. w. peirson,,,north america,293.0,united states,usa,fresno,7ddf754f-d193-4cc9-b351-99906754a03b,1911-08-03,2022-01-11T02:46:27.708845+00:00,0.3333333333333333,,,,,,d894de45a46c2409b0695ddfe3d534a956cd145a,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_continent_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_reference_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 37.15175, 'lon': -118.84956}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera|heuchera rubescens,,,alpicola,rsa,,,plantae,,,,,,,"rae lake, sierra nevada.",,,,,,,3232.0,,87577074-ba90-45da-ab68-8bb2895bf9b3,saxifragales,tracheophyta,"['a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\997782', 'urn:uuid:d08e56f4-685d-40ee-b9d0-fd6e0a67dc32', 'urn:uuid:3d9c2f12-d0bc-464c-a1a8-f0d8d6520080', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18846901', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\87577074-ba90-45da-ab68-8bb2895bf9b3']",s.n.,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera rubescens var. alpicola,rubescens,215,california,3032671,accepted,species,,45452017-f454-4188-8c12-74086661042d,,,,,Heuchera rubescens alpicola,-118.84956,37.15175
,,preservedspecimen,,heuchera rubescens,rsa0063233,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,f. w. peirson,,,north america,550.0,united states,usa,inyo,7ddf754f-d193-4cc9-b351-99906754a03b,1939-08-06,2022-01-11T02:46:27.708845+00:00,0.3333333333333333,,,,,,a4a064fd6f531c40f26e89a30d6fd3cc440a3849,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_continent_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_reference_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 37.4149, 'lon': -118.7735}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera|heuchera rubescens,,,alpicola,rsa,,,plantae,,,,,,,"among rocks along west shore of ruby lake, rock creek lake basin.",,,,,,,3399.0,,929dad9f-7aff-4c38-8d42-0f355d90d26f,saxifragales,tracheophyta,"['a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\1021457', 'urn:uuid:fcafb996-4c06-483f-8f07-d51500367605', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18755110', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\929dad9f-7aff-4c38-8d42-0f355d90d26f', 'urn:uuid:c1ea3824-e083-4dce-9268-e1dd8f542a79']",12777,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera rubescens var. alpicola,rubescens,218,california,3032671,accepted,species,,db8c21d6-576a-4afc-95c5-250221daf074,,,,,Heuchera rubescens alpicola,-118.7735,37.4149
,,preservedspecimen,,heuchera rubescens,csla016597,magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,s. forehand,,,north america,6722.0,united states,usa,mono,7ddf754f-d193-4cc9-b351-99906754a03b,1969-09-15,2021-12-17T12:37:05.139305+00:00,0.3333333333333333,,,,,,a92db3b04f18c2f4cfb7447dce98b768ce5055f1,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 37.488767, 'lon': -118.677889}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera|heuchera rubescens,,,alpicola,csla,,,plantae,,,,,,,"e side of sierra nevada, 20 mi n of bishop, e of little lakes valley",,,,6f303e1c-7021-4960-9b82-6244b418516d,,,3597.0,,e5d47af6-51e7-4df7-9146-6619294db53a,saxifragales,tracheophyta,"['7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\e5d47af6-51e7-4df7-9146-6619294db53a', 'urn:uuid:e5d47af6-51e7-4df7-9146-6619294db53a', '7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68\\\\3720178']",25,7fbf76b1-6bd6-4217-a5bc-1d89e45f6a68,heuchera rubescens var. alpicola,rubescens,258,california,3032671,accepted,species,,5f8e5ce0-885e-4074-b8a3-40a0402fa805,15-sep-69,,,,Heuchera rubescens alpicola,-118.677889,37.488767
,,preservedspecimen,,heuchera rubescens,ucr0048460,magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,john minnich,,,north america,,united states,usa,inyo,7ddf754f-d193-4cc9-b351-99906754a03b,1964-07-26,2022-03-11T04:17:45.652829+00:00,0.30434782608695654,,,,,,30ecd62a54072d9de04b6c1e819d45ff4951f683,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 36.575, 'lon': -118.27222}",,true,true,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera|heuchera rubescens,,,alpicola,ucr,,,plantae,,,,,,,[near mt. whitney] trail camp,,,,50ff81f0-663c-4a97-9b07-c29937a61b57,,,3659.0,,ucr-bps-3864,saxifragales,tracheophyta,"['ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\ucr-bps-3864', 'ba042ffa-8175-4a47-8eb1-08b4d6319ccf\\\\1500845', 'urn:uuid:95a14277-251c-42f7-8651-c84ce7e05a2d']",64-7-26--6,ba042ffa-8175-4a47-8eb1-08b4d6319ccf,heuchera rubescens var. alpicola,rubescens,208,california,3032671,accepted,species,,5615abc4-7f6c-46fb-85ba-ca1182cd0316,1964-7-26,,,,Heuchera rubescens alpicola,-118.27222,36.575
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,art whistler,,,north america,10000.0,united states,usa,fresno,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,3528ffb369b1ab0e8b757a6d62c8272892b6a42c,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 37.32028, 'lon': -119.06222}",,false,false,,,,,ucr,,,plantae,,,,,,,roadside between florence and huntington lakes,,,,,,,2439.0,,ucr-bps-19778,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-19778'],660629-29,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera rubescens var. alpicola,,180,california,3032645,accepted,genus,,a8ca6019-bb25-488f-87ad-b59aafb4b09f,,,,,Heuchera rubescens alpicola,-119.06222,37.32028
