associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera pubescens,ph00497144,magnoliopsida,,019a3280-a69f-4312-bb30-8556e270f1a5,,unknown,,,north america,3587.0,united states,usa,franklin,7ddf754f-d193-4cc9-b351-99906754a03b,1896-07-31,2021-12-17T14:32:06.120553+00:00,0.2463768115942029,,,,,,0dc830d047b190937906c9975f4fb202c011b0d2,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.937591, 'lon': -77.661102}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,ph,,,plantae,,,,,,,chambersburg,,,,8b91037a-fe76-4d31-8ce5-9f9ca969bfab,,,,,9d87c2a9-14ba-454d-a127-b6f5fb1c9808,saxifragales,tracheophyta,"['65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\\\9d87c2a9-14ba-454d-a127-b6f5fb1c9808', '65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\\\20464898', 'urn:uuid:9d87c2a9-14ba-454d-a127-b6f5fb1c9808']",s.n.,65536dcd-7bb2-44e5-af3f-4a13f08e53d0,heuchera pubescens,pubescens,213,pennsylvania,3032668,accepted,species,,e65702cb-032e-45ec-ab27-2489d60f9bc1,,,,,Heuchera pubescens,-77.661102,39.937591
,,preservedspecimen,,heuchera pubescens,us 1728112,magnoliopsida,us,urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8,,h. a. allard,,,north america,,united states,usa,fauquier,7ddf754f-d193-4cc9-b351-99906754a03b,,2022-04-27T13:37:19.029763+00:00,0.2608695652173913,,,,,,2397b2170d6ba1130a66c24042ee43333c1d2465,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_vernacularname_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_parentnameusageid_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'gbif_reference_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_class_replaced']",,heuchera,,"{'lat': 38.8664, 'lon': -77.7064}",,true,true,"plantae, dicotyledonae, saxifragales, saxifragaceae, heucheroideae",,1.0,,us,urn:lsid:biocol.org:col:15463,,plantae,,,,,,,north of hopewell gap,,,,efd016f8-04f9-49f6-8da0-6fdca5b91907,,,,,http://n2t.net/ark:/65665/35dd2c012-2a13-4b97-b394-d55aae6e3624,saxifragales,tracheophyta,['a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\\\http://n2t.net/ark:/65665/35dd2c012-2a13-4b97-b394-d55aae6e3624'],1694,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,heuchera pubescens,pubescens,159,virginia,3032668,accepted,species,,00fcaea3-f161-4ddd-b889-a1602a6c530d,07 jun 1936,,,,Heuchera pubescens,-77.7064,38.8664
,,preservedspecimen,,heuchera pubescens,conn00051694,magnoliopsida,conn,,,william m. kellogg,,,north america,5000.0,united states,usa,hampden county,7ddf754f-d193-4cc9-b351-99906754a03b,1887-05-27,2014-09-09T02:05:11.988000+00:00,0.2608695652173913,,,,,,daf6e5b3d009d589cf4d3d19172495f6476d4269,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 42.20416, 'lon': -72.61611}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,holyoke,,,57.0,368385e6-e638-4e5a-b66c-c0f7ff97492f,,,57.0,holyoke,urn:catalog:uconn:conn:conn00051694,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00051694'],52,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera pubescens pursh,pubescens,147,massachusetts,3032668,accepted,species,,8410e31a-d3f4-4785-8fb5-c8ef35c028a3,27 may 1887,,,,Heuchera pubescens,-72.61611,42.20416
,,preservedspecimen,,heuchera pubescens,conn00166151,magnoliopsida,conn,,,w.w. ashe,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,-,2014-09-12T20:13:17.708000+00:00,0.11594202898550725,,,,,,0eb6581b93481bd7e7dfd636bfffbbfa460b8f7c,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 35.75916, 'lon': -79.02}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,north carolina,,,,20d96cce-6b2b-4e91-8dac-f2ceb6526c18,,,,,urn:catalog:uconn:conn:conn00166151,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166151'],,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera pubescens pursh,pubescens,,north carolina,3032668,accepted,species,,42ce8666-b352-48ea-9025-ce8ef694f55b,,,,,Heuchera pubescens,-79.02,35.75916
,,preservedspecimen,,heuchera pubescens,us 1846975,magnoliopsida,us,urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8,,h. a. allard,,,north america,,united states,usa,fauquier,7ddf754f-d193-4cc9-b351-99906754a03b,,2022-04-27T13:37:19.029763+00:00,0.2608695652173913,,,,,,f942cf19ecadccaedb7480a781f81091305595c8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_vernacularname_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_parentnameusageid_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'gbif_reference_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_class_replaced']",,heuchera,,"{'lat': 38.8242, 'lon': -77.7111}",,true,true,"plantae, dicotyledonae, saxifragales, saxifragaceae, heucheroideae",,1.0,,us,urn:lsid:biocol.org:col:15463,,plantae,,,,,,,west of beverley mill,,,,944e4d52-9d87-4e43-a9b5-b46ad38a9947,,,,,http://n2t.net/ark:/65665/3a9a34a50-17fb-4436-86fb-7a81228794c1,saxifragales,tracheophyta,['a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\\\http://n2t.net/ark:/65665/3a9a34a50-17fb-4436-86fb-7a81228794c1'],9957,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,heuchera pubescens,pubescens,137,virginia,3032668,accepted,species,,069207a1-26b0-4a46-937f-86d96d79a7cc,17 may 1942,,,,Heuchera pubescens,-77.7111,38.8242
,,preservedspecimen,,heuchera pubescens,pac0042341,magnoliopsida,,512d3c7f-fb50-4ef3-b2fd-4e1847b513fc,,walter f. westerfeld,,,north america,829.0,united states,usa,huntingdon,7ddf754f-d193-4cc9-b351-99906754a03b,1953-06-22,2022-01-11T02:39:20.834427+00:00,0.2318840579710145,,,,,,2bc1b599eb5a6b4bf8983132a34a774ccd684172,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.166463, 'lon': -77.804974}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,pac,,,plantae,,,,,,,1 mile ene of neelyton,,,,f04c2a7d-fc42-4b73-b34b-46d21a183036,,,,,08d71463-5ba8-4e47-ba01-683a9518bd02,saxifragales,tracheophyta,"['urn:uuid:08d71463-5ba8-4e47-ba01-683a9518bd02', '46c11153-2154-495d-89d2-7cdef6425cdb\\\\08d71463-5ba8-4e47-ba01-683a9518bd02', '46c11153-2154-495d-89d2-7cdef6425cdb\\\\24805878']",8311,46c11153-2154-495d-89d2-7cdef6425cdb,heuchera pubescens,pubescens,173,pennsylvania,3032668,accepted,species,,aaf74356-8aac-4fdb-91f2-ef28edce33f0,,,,,Heuchera pubescens,-77.804974,40.166463
,,preservedspecimen,,heuchera pubescens,ph00497082,magnoliopsida,,019a3280-a69f-4312-bb30-8556e270f1a5,,thomas c. porter,,,north america,301.0,united states,usa,lancaster,7ddf754f-d193-4cc9-b351-99906754a03b,1865-06-07,2021-12-17T14:32:06.120553+00:00,0.2463768115942029,,,,,,537525b93ebb4e3ccd5154ab7574329dca3c9db1,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.9301, 'lon': -76.379406}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,ph,,,plantae,,,,,,,safe harbor,,,,f6d060e6-f3b2-4179-abbd-92ea400cd1ef,,,,,a83c5d18-a439-4e79-9417-efb808c02f68,saxifragales,tracheophyta,"['65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\\\20464836', 'urn:uuid:a83c5d18-a439-4e79-9417-efb808c02f68', '65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\\\a83c5d18-a439-4e79-9417-efb808c02f68']",s.n.,65536dcd-7bb2-44e5-af3f-4a13f08e53d0,heuchera pubescens,pubescens,158,pennsylvania,3032668,accepted,species,,f1ee1187-f1b8-4b79-9c7e-624faeda177e,,,,,Heuchera pubescens,-76.379406,39.9301
,,preservedspecimen,,heuchera pubescens,cm049964,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"buker, w.e.",,,north america,2449.0,united states,usa,fulton,7ddf754f-d193-4cc9-b351-99906754a03b,1970-06-20,2021-10-28T02:04:07.731114+00:00,0.2753623188405797,,,,,,0be1211482c14695dc4d799cee4f3ee9c6928cc2,saxifragaceae,,"['dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.98761, 'lon': -78.0603}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,cm,,,plantae,,,,,,,"along rt 655, vicinity of harrisonville",,,,,,,,,2cf62dc8-5609-482e-9298-4f8609b6eeb6,saxifragales,tracheophyta,"['db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\2cf62dc8-5609-482e-9298-4f8609b6eeb6', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\12213865', 'urn:uuid:3faa475c-e499-4591-beee-cc07b3ee133f']",s.n.,db6c3db9-1e6d-4def-af29-33aa0339bfa9,heuchera pubescens,pubescens,171,pennsylvania,3032668,accepted,species,,d6e19003-2b03-419e-964e-7cb6273984c1,20 jun 1970,,,,Heuchera pubescens,-78.0603,39.98761
,,preservedspecimen,,heuchera pubescens,cm009856,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"fong, h.; et al.",,,north america,800.0,united states,usa,fayette,7ddf754f-d193-4cc9-b351-99906754a03b,1968-06-04,2021-10-28T02:04:07.731114+00:00,0.2753623188405797,,,,,,3bc3f08ec9039ba7714148d6e17ac6690c5dbb24,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_continent_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.968069, 'lon': -79.460012}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,cm,,,plantae,,,,,,,"indian creek reservoir, 1 mi s of normalville, camp christian",,,,,,,,,00714f29-df00-4770-a859-77bda77cb393,saxifragales,tracheophyta,"['db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\00714f29-df00-4770-a859-77bda77cb393', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\12213470', 'urn:uuid:3fc4b00c-e5c8-4cd2-b281-fef19515bc29']",wp-1350,db6c3db9-1e6d-4def-af29-33aa0339bfa9,heuchera pubescens,pubescens,156,pennsylvania,3032668,accepted,species,,0cf736cf-7686-492c-907c-9e29b5516e4e,4 jun 1968,,,,Heuchera pubescens,-79.460012,39.968069
,,preservedspecimen,,heuchera pubescens,cm049973,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"henry, l.k.",,,north america,5241.0,united states,usa,bedford,7ddf754f-d193-4cc9-b351-99906754a03b,1946-06-01,2021-10-28T02:04:07.731114+00:00,0.2753623188405797,,,,,,c0ee555241e176b97f29ab7bc81ab7a4bcea205d,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_continent_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.927859, 'lon': -78.678086}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,cm,,,plantae,,,,,,,1 mi w of bard,,,,,,,,,573599ef-00cc-4afe-9c1a-188354716883,saxifragales,tracheophyta,"['urn:uuid:f5b6bd26-6348-405e-9d48-a2111c4e4222', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\573599ef-00cc-4afe-9c1a-188354716883', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\12213873']",s.n.,db6c3db9-1e6d-4def-af29-33aa0339bfa9,heuchera pubescens,pubescens,152,pennsylvania,3032668,accepted,species,,3147b448-728a-4085-be10-3e291ec3815b,1 jun 1946,,,,Heuchera pubescens,-78.678086,39.927859
,,preservedspecimen,,heuchera pubescens,cm312773,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"boardman, c.m.",,,north america,10829.0,united states,usa,grant,7ddf754f-d193-4cc9-b351-99906754a03b,1939-09-19,2021-10-28T02:04:07.731114+00:00,0.2898550724637681,,,,,,dac7d37152872048d2f2809b4c6f31706433a8ca,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.073998, 'lon': -79.220039}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,cm,,,plantae,,,,,,,kline gap,,,,,,,472.0,,8a9e25f3-d5ee-4f59-9ee0-3b781591c712,saxifragales,tracheophyta,"['db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\8a9e25f3-d5ee-4f59-9ee0-3b781591c712', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\23989890', 'urn:uuid:96a8a0aa-a70d-4dd5-9dc6-6e5e6f6ce36f']",s.n.,db6c3db9-1e6d-4def-af29-33aa0339bfa9,heuchera pubescens,pubescens,262,west virginia,3032668,accepted,species,,af180aa3-94b9-4a38-ba7b-0651a3d0e835,1939-9-19,,,,Heuchera pubescens,-79.220039,39.073998
,,preservedspecimen,,heuchera pubescens,cm049988,magnoliopsida,botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"travis, m.t.",,,north america,3404.0,united states,usa,perry,7ddf754f-d193-4cc9-b351-99906754a03b,1939-06-20,2021-10-28T02:04:07.731114+00:00,0.2753623188405797,,,,,,6ea33a196bf701bd67ca2dc8da59d3bd64ad578b,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_continent_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.375086, 'lon': -77.022335}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,cm,,,plantae,,,,,,,"along susquehanna river, 3.5 mi ne of liverpool",,,,,,,,,8d0feccd-4f77-40fc-8ebc-9a7fc2c23392,saxifragales,tracheophyta,"['db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\8d0feccd-4f77-40fc-8ebc-9a7fc2c23392', 'urn:uuid:e6129742-9cbe-4906-9b51-0a5c4141e53e', 'db6c3db9-1e6d-4def-af29-33aa0339bfa9\\\\12213888']",1483,db6c3db9-1e6d-4def-af29-33aa0339bfa9,heuchera pubescens,pubescens,171,pennsylvania,3032668,accepted,species,,b0ccfff1-c70e-40e1-86fb-cf927cbffa6d,20 jun 1939,,,,Heuchera pubescens,-77.022335,40.375086
,,preservedspecimen,,heuchera pubescens,mary1018237,magnoliopsida,,f08f07c6-fb9a-4b6b-b008-732821e604e3,,m. twig,,,north america,,united states,usa,allegany,7ddf754f-d193-4cc9-b351-99906754a03b,1947-06-20,2021-11-03T12:41:34.919840+00:00,0.21739130434782608,,,,,,ac12f1b1d3a0f76df04e9732da66a3ec26b11526,saxifragaceae,,"['geopoint_datum_missing', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.63325, 'lon': -78.66135}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,mary,,,plantae,,,,,,,,,,,882e9da4-df3f-4447-8ba3-894265aa9e71,,,,,20de6beb-3f9f-4031-947f-3700b82f98b8,saxifragales,tracheophyta,"['urn:uuid:20de6beb-3f9f-4031-947f-3700b82f98b8', 'e6eba8cd-fa2c-4ba2-bec0-6841e7633695\\\\15504054', 'e6eba8cd-fa2c-4ba2-bec0-6841e7633695\\\\20de6beb-3f9f-4031-947f-3700b82f98b8']",s.n.,e6eba8cd-fa2c-4ba2-bec0-6841e7633695,heuchera pubescens,pubescens,171,maryland,3032668,accepted,species,,ba586ceb-2842-4aa6-b5e0-155ac5535add,6/20/47,,,,Heuchera pubescens,-78.66135,39.63325
,,preservedspecimen,,heuchera pubescens,pac0042343,magnoliopsida,,512d3c7f-fb50-4ef3-b2fd-4e1847b513fc,,walter f. westerfeld,,,north america,402.0,united states,usa,huntingdon,7ddf754f-d193-4cc9-b351-99906754a03b,1953-05-25,2022-03-11T04:22:59.595030+00:00,0.2318840579710145,,,,,,9c1d47cdf50da1220e07669c2a46ea7a4b55a609,saxifragaceae,,"['geopoint_datum_missing', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 40.487019, 'lon': -77.898054}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,pac,,,plantae,,,,,,,smoke school,,,,a6cb48cc-bf7b-40f8-82c5-c78186a4a742,,,,,f3b20d09-d85c-4524-a095-d2f7b1412da7,saxifragales,tracheophyta,"['urn:uuid:f3b20d09-d85c-4524-a095-d2f7b1412da7', '46c11153-2154-495d-89d2-7cdef6425cdb\\\\f3b20d09-d85c-4524-a095-d2f7b1412da7', '46c11153-2154-495d-89d2-7cdef6425cdb\\\\24805880']",7548,46c11153-2154-495d-89d2-7cdef6425cdb,heuchera pubescens,pubescens,145,pennsylvania,3032668,accepted,species,,22dad5e1-d2c5-4be7-a364-2a249c1c297c,,,,,Heuchera pubescens,-77.898054,40.487019
,,preservedspecimen,,heuchera pubescens,us 1895260,magnoliopsida,us,urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8,,h. a. allard,,,north america,,united states,usa,culpeper,7ddf754f-d193-4cc9-b351-99906754a03b,,2022-04-27T13:37:19.029763+00:00,0.2608695652173913,,,,,,7693a84de2cfe8629800d3ae001166f2fd9456c6,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'gbif_vernacularname_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_parentnameusageid_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'gbif_reference_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_class_replaced']",,heuchera,,"{'lat': 38.4419, 'lon': -77.9631}",,true,true,"plantae, dicotyledonae, saxifragales, saxifragaceae, heucheroideae",,1.0,,us,urn:lsid:biocol.org:col:15463,,plantae,,,,,,,mount pony,,,,9442a00d-d436-4606-a97d-268be238dcce,,,,,http://n2t.net/ark:/65665/39108ad97-1f8b-4f70-b3e9-fa282aca07f7,saxifragales,tracheophyta,['a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\\\http://n2t.net/ark:/65665/39108ad97-1f8b-4f70-b3e9-fa282aca07f7'],8967,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,heuchera pubescens,pubescens,173,virginia,3032668,accepted,species,,05d1a740-39fe-4102-9884-8176ef2df403,22 jun 1941,,,,Heuchera pubescens,-77.9631,38.4419
