species_name,x,y
Bensoniella oregona,-123.751,42.802
Bensoniella oregona,-123.7903,42.802
Bensoniella oregona,-123.7903,42.802
Bensoniella oregona,-123.7707,42.7873
Bensoniella oregona,-123.751,42.9927
Bensoniella oregona,-123.9646,42.7788
Bensoniella oregona,-123.7117,42.9047
Bensoniella oregona,-123.7117,42.9047
Bensoniella oregona,-123.8266667,42.625
Bensoniella oregona,-123.8038889,42.60861111
Bensoniella oregona,-123.9075,42.54222222
Bensoniella oregona,-123.9236111,42.57222222
Bensoniella oregona,-123.8038889,42.60861111
Bensoniella oregona,-123.8038889,42.60861111
Bensoniella oregona,-123.8519444,42.63444444
Bensoniella oregona,-124.1558333,42.36638889
Bensoniella oregona,-124.1602778,42.46083333
Bensoniella oregona,-124.1641667,42.36083333
Bensoniella oregona,-123.8045,40.8188
Bensoniella oregona,-123.8236,40.8406
Bensoniella oregona,-123.7575278,40.74955556
Bensoniella oregona,-123.8236,40.8406
Bensoniella oregona,-123.7703,40.7525
Bensoniella oregona,-123.8045,40.8188
Bensoniella oregona,-123.7691,40.7519
Bensoniella oregona,-123.8236,40.8406
Bensoniella oregona,-123.7626,40.7471
Bensoniella oregona,-123.75975,40.74108333
Bensoniella oregona,-123.7627778,40.75083333
Bensoniella oregona,-123.7627778,40.75083333
Bensoniella oregona,-123.8127778,40.82
Bensoniella oregona,-123.7575,40.74083333
Bensoniella oregona,-123.7575,40.74083333
Bensoniella oregona,-123.81222,40.83188
Bensoniella oregona,-123.7691,40.7519
Bensoniella oregona,-123.8045,40.8188
Bensoniella oregona,-123.7703,40.7525
Bensoniella oregona,-123.8236,40.8406
Bensoniella oregona,-123.8236,40.8406
Bensoniella oregona,-123.7703,40.7525
Bensoniella oregona,-123.8236,40.8406
Bensoniella oregona,-123.7522,40.7492
Bensoniella oregona,-123.7703,40.7525
Bensoniella oregona,-123.8236,40.8406
Bensoniella oregona,-123.8045,40.8188
Bensoniella oregona,-123.7691,40.7519
Bensoniella oregona,-123.8189,40.8182
Bensoniella oregona,-123.8189,40.8182
Bensoniella oregona,-123.7603,40.7499
Bensoniella oregona,-123.7522,40.7492
Bensoniella oregona,-123.7626,40.7471
Conimitella williamsii,-111.4266,44.8028
Conimitella williamsii,-111.2401,45.1531
Conimitella williamsii,-111.1984,45.1057
Conimitella williamsii,-111.1853,45.1098
Conimitella williamsii,-110.9963,45.2231
Conimitella williamsii,-110.9797,42.4694
Conimitella williamsii,-110.9392,45.3046
Conimitella williamsii,-110.8972,45.3109
Conimitella williamsii,-110.8143,45.1103
Conimitella williamsii,-110.7564,45.488
Conimitella williamsii,-110.6273,47.4316
Conimitella williamsii,-110.6156,43.5618
Conimitella williamsii,-110.5957,43.5618
Conimitella williamsii,-110.5862,45.0077
Conimitella williamsii,-110.58333,43.285
Conimitella williamsii,-110.58333,43.285
Conimitella williamsii,-110.5117,44.9504
Conimitella williamsii,-110.5042,47.4765
Conimitella williamsii,-110.4923,43.2421
Conimitella williamsii,-110.4506,44.9649
Conimitella williamsii,-110.4099,44.9223
Conimitella williamsii,-110.247,44.9504
Conimitella williamsii,-110.1896,45.4369
Conimitella williamsii,-109.8254,44.5053
Conimitella williamsii,-109.7644,44.4473
Conimitella williamsii,-109.638,45.1912
Conimitella williamsii,-109.454,45.2414
Conimitella williamsii,-109.454,45.2414
Conimitella williamsii,-109.3326,46.7321
Conimitella williamsii,-109.2446,44.3198
Conimitella williamsii,-108.9228,43.8655
Conimitella williamsii,-108.9228,43.8655
Conimitella williamsii,-108.9228,43.8655
Conimitella williamsii,-108.2817,45.1242
Conimitella williamsii,-107.12,44.6436
Conimitella williamsii,-106.952,44.2172
Conimitella williamsii,-106.81139,44.33139
Conimitella williamsii,-106.1461,39.8049
Conimitella williamsii,-106.1189,40.0432
Conimitella williamsii,-113.01667,49.01667
Conimitella williamsii,-114.33333,50.13333
Conimitella williamsii,-106.1461,39.8049
Conimitella williamsii,-113.95,49.483
Conimitella williamsii,-111.1532937,45.07072485
Conimitella williamsii,-111.2644,46.4541
Conimitella williamsii,-111.2644,46.4541
Conimitella williamsii,-114.26311,49.99752
Elmera racemosa,-123.66667,47.87222
Elmera racemosa,-124.675,48.26667
Elmera racemosa,-121.6975,44.0736
Elmera racemosa,-120.66417,47.25389
Elmera racemosa,-120.87639,47.37222
Elmera racemosa,-120.30917,47.42361
Elmera racemosa,-120.65367,48.48329
Elmera racemosa,-123.35667,47.87694
Elmera racemosa,-120.835,47.495
Elmera racemosa,-123.34453,47.79717
Elmera racemosa,-123.33156,47.72122
Elmera racemosa,-121.7167,46.7853
Elmera racemosa,-120.90238,47.47522
Elmera racemosa,-121.8411,44.4783
Elmera racemosa,-120.60181,48.75361
Elmera racemosa,-123.40833,47.93333
Elmera racemosa,-120.915,47.41361
Elmera racemosa,-120.835,47.495
Elmera racemosa,-120.86417,47.425
Elmera racemosa,-123.38056,47.92222
Elmera racemosa,-121.25527,46.79466
Elmera racemosa,-120.81333,47.475
Elmera racemosa,-121.5807,46.86582
Elmera racemosa,-123.52778,47.99028
Elmera racemosa,-123.13222,47.81833
Elmera racemosa,-123.26061,47.52205
Elmera racemosa,-123.61225,47.80682
Elmera racemosa,-120.83833,48.55167
Elmera racemosa,-120.87702,47.37245
Elmera racemosa,-123.40833,47.93333
Elmera racemosa,-124.675,48.26667
Elmera racemosa,-123.26055,47.52242
Elmera racemosa,-120.74198,47.43891
Elmera racemosa,-120.94972,47.43833
Elmera racemosa,-121.4225,48.21139
Elmera racemosa,-121.50206,46.90381
Elmera racemosa,-121.24013,49.16398
Elmera racemosa,-124.675,48.26667
Elmera racemosa,-120.89782,47.43363
Elmera racemosa,-120.74198,47.43891
Elmera racemosa,-121.70936,46.80156
Elmera racemosa,-121.50833,46.87306
Elmera racemosa,-123.77611,47.90556
Elmera racemosa,-120.74198,47.43891
Elmera racemosa,-121.6444,46.89651
Elmera racemosa,-121.4575,46.50444
Elmera racemosa,-121.7504,46.7914
Elmera racemosa,-120.835,47.495
Elmera racemosa,-121.36,47.96194
Elmera racemosa,-123.68583,47.81
Elmera racemosa,-122.93083,47.65222
Elmera racemosa,-123.68583,47.81
Elmera racemosa,-121.66497,46.91899
Elmera racemosa,-121.1446,47.55899
Elmera racemosa,-122.0446,43.3993
Elmera racemosa,-123.47444,47.99528
Elmera racemosa,-121.7625,46.85083
Elmera racemosa,-120.74222,47.39472
Elmera racemosa,-123.13556,47.81833
Elmera racemosa,-123.46725,47.99536
Elmera racemosa,-122.0997,43.3842
Elmera racemosa,-121.4575,46.50444
Elmera racemosa,-123.26061,47.52205
Elmera racemosa,-120.73758,48.10554
Elmera racemosa,-123.68583,47.81
Elmera racemosa,-120.84134,48.57287
Elmera racemosa,-121.88333,46.88333
Elmera racemosa,-120.87702,47.37245
Elmera racemosa,-120.915,47.47417
Elmera racemosa,-121.88333,46.88333
Elmera racemosa,-120.7888,48.50944
Elmera racemosa,-121.66444,46.91936
Elmera racemosa,-123.40833,47.93333
Elmera racemosa,-120.87702,47.37245
Elmera racemosa,-120.67042,48.72029
Elmera racemosa,-123.13222,47.81833
Elmera racemosa,-120.93467,47.45083
Elmera racemosa,-123.43889,47.99472
Elmera racemosa,-120.89782,47.43363
Heuchera abramsii,-117.6684,34.2881
Heuchera abramsii,-117.6684,34.2881
Heuchera abramsii,-117.655,34.28694
Heuchera abramsii,-117.655,34.28694
Heuchera abramsii,-117.65452,34.28682
Heuchera abramsii,-117.65452,34.28682
Heuchera abramsii,-117.65452,34.28682
Heuchera abramsii,-117.65452,34.28682
Heuchera abramsii,-117.6527,34.2869
Heuchera abramsii,-117.6527,34.2869
Heuchera abramsii,-117.6514,34.287
Heuchera abramsii,-117.6514,34.287
Heuchera abramsii,-117.6514,34.287
Heuchera abramsii,-117.6514,34.287
Heuchera abramsii,-117.6514,34.287
Heuchera abramsii,-117.6514,34.287
Heuchera abramsii,-117.6514,34.287
Heuchera abramsii,-117.6507,34.2878
Heuchera abramsii,-117.6507,34.2878
Heuchera abramsii,-117.65052,34.2878
Heuchera abramsii,-117.65052,34.2878
Heuchera abramsii,-117.6469,34.2925
Heuchera abramsii,-117.6469,34.2925
Heuchera abramsii,-117.6468,34.2888
Heuchera abramsii,-117.6468,34.2888
Heuchera abramsii,-117.6467,34.2954
Heuchera abramsii,-117.6467,34.2954
Heuchera abramsii,-117.6462,34.2892
Heuchera abramsii,-117.6462,34.2892
Heuchera abramsii,-117.6462,34.2892
Heuchera abramsii,-117.6462,34.2892
Heuchera abramsii,-117.6462,34.2892
Heuchera abramsii,-117.6462,34.2892
Heuchera abramsii,-117.6462,34.2892
Heuchera abramsii,-117.64617,34.28917
Heuchera abramsii,-117.64616,34.28917
Heuchera abramsii,-117.64611,34.28944
Heuchera abramsii,-117.64611,34.28944
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.6461,34.28921
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.646,34.2891
Heuchera abramsii,-117.6458,34.2892
Heuchera abramsii,-117.6458,34.2892
Heuchera abramsii,-117.6458,34.2892
Heuchera abramsii,-117.6458,34.2892
Heuchera abramsii,-117.6458,34.2892
Heuchera abramsii,-117.64569,34.292
Heuchera abramsii,-117.64569,34.292
Heuchera abramsii,-117.64486,34.30525
Heuchera abramsii,-117.64486,34.30525
Heuchera abramsii,-117.6444444,34.3136111
Heuchera abramsii,-117.64444,34.31361
Heuchera abramsii,-117.64444,34.31361
Heuchera abramsii,-117.64444,34.31361
Heuchera abramsii,-117.64444,34.31361
Heuchera abramsii,-117.64444,34.31361
Heuchera abramsii,-117.6443,34.3137
Heuchera abramsii,-117.6443,34.3137
Heuchera abramsii,-117.6443,34.3137
Heuchera abramsii,-117.6443,34.3137
Heuchera abramsii,-117.6442,34.3136
Heuchera abramsii,-117.64389,34.28861
Heuchera abramsii,-117.64389,34.28861
Heuchera abramsii,-117.64389,34.28861
Heuchera abramsii,-117.64389,34.28861
Heuchera abramsii,-117.64389,34.28861
Heuchera abramsii,-117.6438889,34.2886111
Heuchera abramsii,-117.6438,34.2966
Heuchera abramsii,-117.6438,34.2966
Heuchera abramsii,-117.64369,34.31453
Heuchera abramsii,-117.64369,34.31453
Heuchera abramsii,-117.63603,34.30329
Heuchera abramsii,-117.63603,34.30329
Heuchera acutifolia,-96.36670303,17.29999494
Heuchera acutifolia,-97.25932662,19.7372675
Heuchera acutifolia,-98.48184827,20.53767129
Heuchera acutifolia,-97.08331549,19.55004634
Heuchera acutifolia,-98.45003994,20.63498505
Heuchera acutifolia,-97.25930375,19.68515229
Heuchera acutifolia,-97.12473015,19.48467739
Heuchera acutifolia,-97.13332791,19.58324784
Heuchera acutifolia,-97.08332952,19.49997487
Heuchera acutifolia,-97.58743154,19.87517961
Heuchera acutifolia,-98.17890672,20.33658417
Heuchera acutifolia,-97.13331148,19.68336077
Heuchera acutifolia,-98.1297403,20.34258847
Heuchera acutifolia,-95.87298516,17.20651945
Heuchera acutifolia,-98.7220116,19.21112005
Heuchera acutifolia,-96.03334996,17.18661579
Heuchera acutifolia,-96.06660798,17.01660974
Heuchera acutifolia,-98.74268467,20.20066966
Heuchera acutifolia,-96.53727503,17.69898734
Heuchera alba,-79.583016,38.335642
Heuchera alba,-78.734779,39.395243
Heuchera alba,-79.156905,39.383779
Heuchera alba,-79.5336594,38.5537286
Heuchera alba,-78.396954,39.531205
Heuchera alba,-79.60164,38.500107
Heuchera alba,-79.315872,38.399154
Heuchera alba,-79.21121,38.355764
Heuchera alba,-79.532828,38.699836
Heuchera alba,-78.30135667,40.02438667
Heuchera alba,-79.18181,38.594238
Heuchera alba,-79.467308,38.874203
Heuchera alba,-79.276913,38.917228
Heuchera alba,-79.202538,38.98761
Heuchera alba,-79.270874,38.847334
Heuchera alba,-79.495325,38.563451
Heuchera alba,-79.07992182,39.004845
Heuchera alba,-79.17176653,38.568551
Heuchera alba,-79.17392799,38.570226
Heuchera alba,-79.77936229,38.741448
Heuchera alba,-79.24476594,38.46296
Heuchera americana,-84.6466666667,40.6877777778
Heuchera americana,-84.5919444444,40.8641666667
Heuchera americana,-84.5472222222,39.2022222222
Heuchera americana,-84.1936111111,40.5677777778
Heuchera americana,-84.1741666667,41.3119444444
Heuchera americana,-84.0583333333,41.3758333333
Heuchera americana,-84.0077777778,39.6088888889
Heuchera americana,-83.9325000000,39.5075000000
Heuchera americana,-83.8897222222,39.8002777778
Heuchera americana,-83.8869444444,39.8063888889
Heuchera americana,-83.8458333333,39.7897222222
Heuchera americana,-83.5452777778,40.4019444444
Heuchera americana,-83.4388888889,39.4313888889
Heuchera americana,-83.0680555556,40.2986111111
Heuchera americana,-83.0663888889,40.1044444444
Heuchera americana,-83.0491666667,38.8408333333
Heuchera americana,-83.0105555556,40.0180555556
Heuchera americana,-82.9861111111,39.9897222222
Heuchera americana,-82.9861111111,39.9897222222
Heuchera americana,-82.9861111111,39.9897222222
Heuchera americana,-82.8208333333,41.6500000000
